西安电子科技大学电院辅导员钱德年是一个怎样的人？,大家自己去导师评价网看吧，此人迫害学生，无耻混蛋，不想多说
如何评价西安电子科技大学强迫学生参加"学术之春"等诸如此类的活动？,搞形式主义，学术交流应该自主自愿。
杭州电子科技大学夜大怎么样？？, 有较高的教学质量和良好的社会声誉，在函授、夜大学教育评估中，成人高考学院的函授和夜大一起被评为优秀，成为浙江省仅有两所获得“双优”的高校之一 。 杭州夜大|杭州成人高复   
想考控制工程的专硕，在江南大学和电子科技大学中纠结，求意见(๑• . •๑)？,江南应该好点  
厦大，东南，中山大学，电子科技大学怎么选？,我电忝列其中，有点受宠若惊啊哈哈。 笼统的比较不好比，建议根据行业考虑学校吧： 建筑土木：东南（其他没有可比性） 电子：东南，成电 计算机：东南，中山，成电（专业上各有千秋，地理位置前两者更优） 金融：厦大，中山
如何在电子科技大学脱单？,实在找不到可以考虑找女装dalao，还是找不到可以考虑自己女装扮女朋友（大雾（没图
我想了解一下桂林电子科技大学?,谢谢邀请。 在回答问题之前，我需要说明的是，我本身是土生土长的桂林人，但是我就读的是成都的电子科技大学。我对桂林还是非常了解的，但是对于桂林电子科技大学的了解比较少，关于题主咨询的桂电相关的问题，我的回答可能不是那么准确，只能作为参考意见，关键还是要靠题主自己多去了解。  先说说桂林。  气候： 桂林地处广西北部，夏季自然不必多说，当然是典型的南方湿热气候，而且热的时间比较长，从5月份到11月份都是穿短袖的季节，北方的同学可能会觉得身上比较粘，不过洗澡很方便，南方的大学宿舍里一般都是有洗澡房的。由于地处广西最北部嘛，桂林在冬天也会有非常湿冷的时候，估计这也是北方的童鞋需要考虑的另外一个问题，不过冷的时间不长就是啦。  饮食： 桂林毗邻湖南，与广东也是非常的近，因此饮食既有湖南的辣，也有不少粤菜的味道（比如煲汤、煲仔饭之类的）。受到湘菜和粤菜的影响，桂林也具有着自己独特的饮食特色，很多桂林本地菜也是让人垂涎三尺的。最具特色的就是桂林米粉店在桂林遍地开花，价格实惠，三块五二两还有牛肉，而且酸菜海带酸豆角都是可以自己随便加的！还有桂林的水果新鲜便宜，去桂林要多吃水果哦。总结一下，桂林的饮食既有辣的也有不辣的，不过辣的更加好吃。不过面食偏少，基本上都是以大米或者糯米为主食，北方同学要想办法克服一下噢。  其它 ：引用古人诗句--江作青罗带，山如碧玉簪。。桂林山水甲天下。这不用我来介绍了，很多名人诗句旅游频道都已经介绍过了。从我个人的角度来说，桂林是一座非常好玩的城市。我们在北大读书，在香港实习的同学曾经说过，桂林是最不无聊的一座城市。  再说说桂电。 桂电是我认为的桂林最好的学校。从就业率来说，也是广西名列前茅的高校。就业地主要还是在广西境内的偏多啦。到了大学，除非你想保研，要不然就别只盯着分数看，特别是学计算机相关的专业，多动手实践，专业课要牢牢掌握，自己也要多看专业课相关的经典课外书籍。  说说信息安全。 我本科学习的是信息安全专业，现在研究生阶段也是计算机专业。我非常庆幸本科的时候学习的信息安全相关的理论知识。不过后悔的是，在本科阶段忽略了动手实践这一块。我觉得这也是学习信息安全比较容易走入的一个误区--因为没有动手实践，所以感觉学习的理论知识枯燥无实际意义。大学期间多想办法去找找实习，以后工作不一定会做信息安全相关的东西的，不过只要你还是从事的计算机相关的工作，信息安全知识总会有用得上的时候。  总结一下哈，桂林是一座值得你来细细品味的城市。大学期间，不要当只会上课的学霸，多看课外书丰富自己，多去社会上实践，磨练为人处事。要知道，分数不能决定你的未来。有的时候，解决问题的思路比解决问题本身更加重要。最后，祝愿题主前程似锦~
西安电子科技大学计算机科学与技术专业的好坏?,好：妹子少，专注于代码事业！ 坏：妹子少，一辈子专注于代码事业！
在杭州电子科技大学当学渣是怎样的体验？？？,我是读大学前就决定先当一个学渣 然后大三再学的 所以大一大二一共挂过十几科  平时打打游戏陪陪女朋友还是美滋滋的 过得考试都是不可描述过 对学校规章制度很有研究 因此每年学分都在安全范围内 没拿过退学警示 每学期一次无学位警示 每学期都被辅导员叫过谈话 我都表示自己很了解目前的情况 我不担心学习的问题  刚刚结束努力学习的大三上学期  所有科目80+通过  下学期还有八门专业课吧 通过应该也没问题  现在还打算大四出国或者考研  反正是个学渣  没考上研或者没出了国压力也不大～顺其自然
听西安电子科技大学李仁先副教授的课是种怎样的体验？,刚经历完一节线代。。 说实话    要是给我一个机会 我一定做最前面好好听。。。
电子科技大学有哪些学生喜欢吐槽的典故？,不会数学建模，找什么女朋友？！   
