国际经济与贸易专业考研的话，国内（港澳台）哪所大学比较好，最好在南方这边？,北京也有贸易很好的大学。
在对外经济贸易大学 (UIBE) 就读是一种怎样的体验？,谢谢邀请！”在贸大遇见你，是我今生最美丽的风景“  我就能从一个正在读研二的‘国际留学生’的角度来写。 觉得各位校友都写得很充分很好。校友对母校的恩爱是一种很独特的概念！  我班里人不多不少（40+吧）有14不同国家的人欧美有4个（包括我）。  其实外国人选修课好像没有本地孩子那么放松，必修课多选修课很少 （特别是与英国的经验来比）而且很关心我们上不上课， 每次班主任，（一位被大多学生称呼为妈妈的一个50+岁的中国女士）会来点名，如果你不及时到会给你打电话。我都听同学说她身体好点儿的时候，会亲身到宿舍把没有上课的同学吵醒，拉到教室里！  不过我也能理解学校为什么这么做，对我这种外语学转到商务学（国贸）的人来讲，英文的数学已经是够痛苦的一件事， 用中文来学微观，宏观和计量经济学有的时候真是要命！如果不上课的话真没办法。  校园的话，虽然比较小，不想利兹那样充满历史和小城市的魅力，但是到春天还是挺漂亮的，天气好外国同学到小园子里晒太阳中国的学生在旁边尴尬的关注一下哈哈。  图书馆我觉得很到位！虽然我不经常去，但真的很喜欢。 校园的流浪狗也是很重要的一个形象，很多学生坐着陪他，给他吃的，两个冬天过去了他从没瘦过。夏天学校还养鱼养鸟，是很爱动物的一个学校。  贸大女孩子特别多！！ 好像现在的比例8：2， 外国学生的话好像没有那么严重，我没去细细检查过哈哈。  我以前住中国女孩子宿舍（虹远楼 ）：第一天来是非常糟糕的，那天晚上一直在哭！幸会有两个人，一个保安一个中国住宿舍的姑娘帮助了我。          开始真的不适应， 我这样习惯早上晚上都洗澡的人得天天拿着桶去洗澡而且英国人在这个方面比较保守，突然要用公共卫生间确实很尴尬！很麻烦！以前在利兹住自己的房子，各方面（自己的房间，吃的，用的，出去回来时间）都很自由突然遇到很多限制心理很不舒服， 习惯去咖啡馆学习上网，11点以后才回宿舍，经常被锁在外面-也很对不起老麻烦阿姨给我开门 （70%阿姨们脾气都很好，有一个还想给我介绍男友）。可能因为一起面对‘困难’与同屋和别的HYL的姑娘关系非常好。  但是没有厨房没有冰箱，吃了半年的中餐发胖了20斤，自己受不了就搬到外国学生公寓， 有小小的厨房，有自己的卫生间，更接近在外国上大学的条件 （减了10斤）。可能说我比较矫情吧，但住了自己的房子四年以后突然跟别人住一房间真的较难，还好我出生时双胞胎有过这样的经验。  我觉得贸大社团确实有多有丰富，我参加过几个，自己也开过社团，给贸大的学生教英语戏剧。很喜欢与大家学习，可惜时间限制不允许我继续。  也有很多比赛，晚会，活动，经常给学生展示自己能力的机会，（小编辑参加过几次活动，辩论赛还有主持毕业晚会）。 贸大的天才也不少，本地人外国人两群都有优秀的校友， 创业者特别多（我可以算吗？）！。我见过说英文最厉害而且他却从来没去过外国的男生也是贸大的，他说英语都用本地的Slang， 那些我估计我欧洲朋友都不会明白的话，当时我吓了一条！真的给我动（压）力。  贸大（起码是外国学生）学习很不错但是也很爱玩儿，玩儿的比北大清华的学生多得多。  学院之间的嘲笑和竞争很激烈，很高校 （社交媒体上发布的文章也很有趣）但是在外遇到校友总很热情（就算你是英语学院的也态度很好）。  我最喜欢贸大夏天晚上东门的境况，大家都在外面吃串，喝东西，有好多小摊子应有尽有，便宜的衣服等等都可以买，那边的老阿姨经常过来陪我聊天-虽然她就会说四川话但我们还可以沟通，忙忙碌碌的，火锅味道，音乐。真是我对‘中国生活’很深刻而很甜美的印象。
对外经济贸易大学和中山大学的经管应该如何抉择？,我是贸大毕业，反对以上答案。学经济，还是要去北上
UIBE，请问对外经济贸易大学在天津招生情况怎么样？有天津在贸大读的知友吗？,强答一发～ 贸大15级某不知名小院在读。高中文科。  招生情况可以大概了解一下，即高分段低于南开最高分数，低分段高于南开最低分数。  学校整体学习氛围尚可，并没有来之前听说的那么浮躁，大多数同学还是很认真优秀的。社团活动也不错，学长学姐都非常好，是真正愿意帮助学弟学妹进步的那种。  学校的同学来自五湖四海，基本上你每个宿舍的同学都来自不同的地方，绝大多数相处不错。  专业上经管文法各有所长，辅修的同学也很多。蹭课自由，选课是门技术活，如果有学弟学妹看到到时候细讲～想学到的东西都可以学到！  总之，如果倾向985情节名校情节或者一心期盼绝对的象牙塔，贸大可能满足不了你；但是如果向往体验更多，北京确实不错。贸大不会让绝大多数人失望。
对外经济贸易大学和中央财经大学的比较？,         以下将从招生人数，复试分数线，复试科目，就业这些方面对比这两个学校之间的区别，希望你看完后会有一个自己的答案！  　　一，复试分数线以及招生人数  　　央财：    　　对外出场：（实际录取人数均比计划人数多）   根据2017年最新数据显示：  　　中央财经大学全日制会计硕士拟招收170 名（含推荐免试生51名）学费（6.8万/2年）、非全日制会计硕士拟招收72 名，学费12.8万/2年。复试前，学校将对上述两种类型分别划定复试分数线，并分别录取。  　　对外经济贸易大学全日制拟招生50人（推免15人），学费拟定5万元/2年，拟招生非全日制（在职不脱产）会计硕士93人，学费12万元/2年。  　　二，复试规则以及复试科目  　　1）中央财经大学：复试采取差额复试的办法进行，审计和会计专业学位差额复试总比例为1:2-1:3之间。  　　会计专硕总成绩计算方法：总成绩满分为400分，计算公式为：总成绩=初试总分×40%+复试总分×280%。  　　2）复试总成绩满分为100分，计算公式为：复试总成绩=知识成就评定成绩+专业能力笔试成绩×0.5+专业潜质面试成绩×0.4+外语听说测试成绩。知识成就评定成绩满分为5分，专业能力笔试成绩满分为100分，专业潜质面试成绩满分为100分，外语听说测试成绩满分为5分，上述四项最小得分单位均为0.5分。  　　3）复试笔试参考书目  　　①《中级财务会计》，王君彩，经济科学出版社（2013.2第五版）；  　　②《审计学》，孟焰、刘俊勇，高等教育出版社（2011.5）；  　　③《成本管理会计》，丁瑞玲、吴溪，经济科学出版社（2012.8第四版）；  　　④《财务管理学》，荆新、王化成、刘俊彦，中国人民大学出版社（2012第六版）。①中级财务会计学（25%）② 审计学 （25%）③成本管理会计 （25%）  　　④企业财务管理 （25%）  　　对外经济贸易大学以【初试成绩的百分制】×0.3＋【会计专业笔试成绩的百分制】×0.3＋【面试成绩的百分制】＋0.35＋【英语听力成绩的百分制】×0.05计算最终成绩，全日制和在职分别排序，根据招生名额以序录取。  　　（2）复试内容  　　1.会计专业笔试2.政治理论笔试3.英语听力笔试  　　（3）复试参考书目  　　1、专业英语用书：会计学—管理会计分册（英文原版， chapter 24， chapter 26 除外）机械工业出版社影印11 版或13版，罗伯特 F梅斯（或简R威廉姆斯）、苏珊F 哈卡等  　　2、专业英语用书：《会计学》—财务会计分册（英文原版， chapter 15除外)机械工业出版社影印11 版或13版，罗伯特F 梅斯（或简R威廉姆斯）、苏珊F 哈卡等  　　3、管理会计（第二版）（第九章、第十章、第十三章、第十六章除外），对外经济贸易大学出版社，2009年3月，余恕莲、李相志、吴革  　　4、初级会计学，中信出版社，2006年，王秀丽、赵旸  　　5、企业会计准则2006（第3号、第5号，第9号、第10号、第11号、第16、号第18号、第19号、第21号、第23 号至27号、第32 号至38号除外）。中华人民共和国财政部  　　6、公司理财，清华大学出版社，2007年，蒋屏  　　7、企业财务报表分析，北京大学出版社，2008年，张新民、钱爱民  　　小结：央财初试比例占30%，复试比例占70%，专业课不好的同学慎重。  　　对外初试比例占40%，复试笔试比例占30%，复试面试占30%。  　　复试若没有通过笔试，不得参加面试  　　三，就业  　　央财：MPAcc学生的就业率为100%。学生毕业后京内就业约占毕业人数的65%，京外35%。金融机构约占35%，央企国企30%，公务员、事业单位、科研院所22%，四大国际会计师事务所8%，其他5%。  　　对外：MPAcc学生的就业率为100%。学生毕业后京内就业约占毕业人数的79%，京外21%。毕业就业公司性质：国营企业41%，外资企业36%，民营企业13%，政府机关6%，事业单位4%。其中金融约占工作行业分布67%，流向：会计师事务所，商业银行，证券公司，实业类金融业务，基金公司，金融租赁公司。  　　小编认为，这两所学校如果真的能考上，其实是差不多的，求稳得来！  　　补充一点：关于在职项目的不同：  　　两所学校MPAcc的学习方式分为全日制和非全日制。  　　央财：全日制和非全日制MPAcc的学位证书没有区别。MPAcc（非定向就业）须在入学报到前将人事档案调入学校，否则取消录取资格，其中外埠考生可自愿将户口在规定时间内迁移至我校集体户口，注意：对外的非全日制不接收档案和户口  　　非全日制MPAcc的毕业证书会进行学习方式的标注，但学历学位证书和全日制MPAcc具有同等法律地位和相同效力。央财的非全日制MPAcc(非定向就业)可以和全日制MPAcc(非定向就业)一样可以参加校园招聘并可以获得派遣资格，但对外的非全日制不可参加校园招聘。          以上信息是通过聚英考研网的对外经济贸易考研交流群专门替你问的，学姐就这样给我分析了一下，希望该回答能给你带来帮助！还有不懂的，可以咨询学姐的企鹅：五九五一二四二五一 
对外经济贸易大学真的很有实力吗？,同属于专业专科类大学，外语和北外上外一层次，财经和上财央财差不多。所以嘛，就这么一般般了
请问在分数足够的情况下是报考首都经济贸易大学，还是上海立信金融学校？,我也有同样问题！但是我以后还是在上海就业，很纠结！
如何评价施建军校长在对外经济贸易大学的任期表现？,今年毕业了，怀念贸大，怀念施大大。 一个小细节构成我对施校长的印象。 记得在一次会议上，他提到原本女生宿舍楼层内没有开水，女生要喝热水只能拎着热水壶跑下楼打水，非常不方便。记得当时他说， 为什么要人下楼，不能让水上楼？ 于是就给每层配了热水机。 虹远的热水连同空调、体育馆等等，都是施校长在任期间我们所享受到的实实在在的便利。  从物质条件相对匮乏的年代成长起来的老一辈人似乎对吃苦有一种迷之执念，即使物质精神富足也要创造条件让年轻人吃苦，总觉得吃苦和成功有必然的因果关系。 曾看到过不少论调，说学生时代把书念好就够了，宿舍住得差一点、生活设施次一些有什么关系。 而施校长难能可贵的地方在于，能够摆脱这种思维的局限性，有一种以学生为本的人文精神，他愿意为学生创造便利的生活学习条件， 这大概也是许多校友对他交口称赞的原因吧。
考研对外经济贸易大学体验经验？,这个问题，超出了我回答的范围……
北京地区，除清北人名校外，UIBE对外经济贸易大学商学院MBA项目的性价比如何？,第一，相对于没有太多参考价值的排名来说，认证还是有一定价值的，至少意味着学校的MBA项目水平是达到equis和aacsb的基本要求的。 第二，看校友，除了看MBA校友的数量和质量，更要看学校在自己行业以及上下游关联行业的资源如何。比如，假设我们认为中央财经大学和北京理工大学的MBA项目水平相近，不能因为央财人少就判断校友方面不如北理工。如果你在银行业等央财校友较多的金融行业，央财理论上就更适合你。如果你在军工领域则相反。外经贸在北京地区的认可度相当高，这一点从外经贸在京高招录取分数线就能看出来。毕业生的就业率和平均薪酬也相当不错，很多外企的hr都非常喜欢外经贸的毕业生。所以，MBA数量不是太大的问题。 第三，至于学习环境之类的硬件条件我个人感觉不应该是选校的标准。 整体来说，选学校在于“匹配”而非“好”，选什么学校更多还是要看自己的职业方向以及申请的性价比（录取成功率与花费的时间精力）。  补充一点，转户口的问题，基本上在现在的大政策下，只关系到摇号了，清华也一样不能转。
如何看待对外经济贸易大学女生宿舍强制要求清理宿舍门上海报、招贴画的行为？,讲真并没觉得撕成这样有多好看  
