没有人来说说中国石油大学（华东）的张丹青老师吗？,讲课不用ppt全部手写板书。 性格率真，待学生真诚。 上课有时还会穿插一些佛学之类的东西，很有趣。 重要的是，课讲的超好，听他的课不会瞌睡。 快毕业了，还想在上一次张老师的课  利益相关，upc-gis12级
中国石油大学的克拉玛依校区靠谱吗？,要是你分不够还想上个211  这是性价比最高的一个学校  
在中国石油大学就读是怎样一番体验？,喜欢循规蹈矩的人就去吧，学校不怎么尊重学生，去了就知道，看你是哪种人，想要学习可能也找不到好的条件，但是学校就喜欢洗脑你，到底是特色专业学校，不应该是真正的211，活动水得可怜也少的可怜，并且不要觉得石油就有钱，钱也不花在你身上，卖石油的也不是你，如果已经打算走上研究的路去吧，其他事情入社会了再说，如果你想法比较多，比较文艺或者有个性，别去了，别的学校才有条件和平台
中国石油大学研究生还是墨尔本大学金融授课型硕士？,石油大学很多学石油工程的硕士正在拼命转行，你去干什么？你都读了四年石油工程了，你不知道石油如今是什么鬼样子吗？年轻人，听家里人的话靠谱。如今学校老师说的话，都很不靠谱啊！  PS  这是墨尔本大学被黑的最惨的一次，居然被拿来跟国内低就业率高校作比较。
中国石油大学在国内是怎样的存在？,3泻药 看到这个问题有些辛酸，本科华东研究生北京。感觉对两所学校都有些了解。 这几年排名掉了一些，和教育部评估的当时改变有关。现在高校排名更看重纵向课题和重大项目，文章水平和学科引用排名等。两所石大都还是做的横向课题更多，换而言之，几个大院老师都在忙着赚钱，科研哪有钱重要。相比而言北京科研氛围好一点（挖人也更积极，华东这点做的太差，不出意外明年排名还得降）  两所学校培养了大批优秀的石油工程师，可惜这几年形式不好，原先石大虽然相比后起之秀们，科研和挖人差些，官僚风气重（听说山校长又不换了？华东该换个年轻的了），但行业优势导致学校有钱，非常有钱，只是这几年石油行业形势大家都了解。然而石大们，感觉华东更严重，没有意识到危机吧。科研投入还是不够，老师还是忙着赚钱，在北京见到不少年轻的海归，各个院都有。华东这几年观察，石工反正一个正经的都没有。和政策心态有关，这样下去问题就越来越严重了。  记得大四听储运院一位年轻老师做力学的，很厉害，讲自己是院里唯一做科研的，有些孤独。石工这边姚老师做的好一些，还有几个大牛。希望老姚能评上院士，感觉他也是赚够了钱才更看重科研了吧。最后再吐槽一下，华东的挖人太差了。 不过更让石大学子心寒的是油价吧，排名了没有就业形式实在。本科四年加研究生半年了，对两所学校都有感情。希望两所学校越来越好，更重要的是油价低迷能让校领导意识到，吃老本的时光一去不复返。自己刚读研，看到有和自己当年一样疑问的人，如有偏颇，请大家原谅。 ………………………………………………………………… 17.7.19更新 已经准备转行 看到还有很多回复 以我个人经历奉劝大家  别学石油 来了石大  搞个自动化计算机财务管理 凭借211保研去个别的学校就好了 别学石油了 17.8.14更新 身边有当年放弃保研去塔尔萨的PHD同学，本来是很羡慕的 近闻已经quit了。可能奥斯汀会好一些吧 身边的师兄都在忙着转行，老板说大家毕业考个公务员最是实在。这就是楼下所说的一所「顶尖石油大学」的最好的研究生院的大组的情况  有的师兄文章多 还在坚持做东西想进高校 然而高校压力更大 又是非升即走。身边本科有的同学转行的反而现在都站稳脚跟了。 可能是我自己不够牛逼吧，但一路走上来也算是同龄人中的佼佼者了 也有过情怀和幻想  但都比不过时代不再需要我们了的现实残酷。
如何看待中国石油大学（北京）克拉玛依校区？,原本是克拉玛依想改变当地没有好大学的现状，建克拉玛依理工，定位成一本院校，由于石油大学和克拉玛依关系比较近，让石油大学全程援建，石油大学有几个老师专门去忙了很久。。建成了后报到教育部，投票没给过，克拉玛依理工就黄了。 后来教育部给克拉玛依领导支招，说建新学校不好批，但新校区好批。既然只是想要个好大学，何不建个石大新校区。后来找到石油大学，石油大学也同意了。这事就成了。校区什么的都是原来要弄克拉玛依理工的。  这件事石油大学北京这边其实不是主动的，更多地是被拉入伙，学校领导对于新疆校区的将来发展也没有很清晰的定位。从现在的一些已有文件来看，新疆校区前几年北京帮着带带，后面也还是要独立的。以后石油大学说不定是三校办学了。  内部人士，匿了。
如何看待看待“中国石油大学（北京）一男子化妆潜入女浴室被抓”？,但是据说那名男子是从男生浴室的另一个入口进去的，其实那一个入口没人用可以关了的。
关于中国石油大学（北京）选择双学位？,学编程。
中国石油大学东营校区和胜利学院是分开的吗？,现在东营校区几乎就是没了
几年过去了，中国石油大学（华东）从山东东营搬到山东青岛有什么影响？,这个问题问的是： 几年过去了，中国石油大学（华东）从山东东营搬到山东青岛有什么影响？  前面几个回答都是什么鬼？题目读不懂？  石大搬青岛，是一所211高校的必然选择。  石大青岛校区早在04年就开学，主干专业也早几年就搬去了青岛，石大校内早在新千年之前就在想搬离东营，就算没有所谓的局长大闹校领导，石大也不会留东营。11年是山校长领导搬走的，但这是几任校长的努力换来的。要讲是市府惹怒石大，学校一气之下离开的话，那这么说，2000年之前石大就已经在生东营市府的气了吗？  当年石大从北京搬来东营，是迫不得已，那时候就算东营还是盐碱地，省内除了济青，其他地方都差不多。而且，为了栽树绿化，石大东营校区的土都是从南部广饶拉来的，可以说东赵对不起石大，但东营市并没有对不起石大。  东营的区位对石大来说是劣势，交通末梢，气候闷热，没有高校聚集。高校竞争越来越激烈，东营的石油大学留不住教授，招不来学生，这都是致命的。  而青岛的石油大学，则很好的解决了这些问题，11年之后，石大的生源大大改善，很多学生都是冲着青岛来的，要是在东营，他们根本都不会考虑。  石大的到来，对黄岛的发展有很大助力，也助推了青岛的高校聚集建设。  对东营来讲，确实是一大损失，有些人骂市府没有眼界，那些混官场几十年的老大们，尤其是各地都待过的一把手们，他们难道不懂有一所211大学对当地的影响？但市政府有天大的能力，也无法把东营的区位换成青岛的，把东营的知名度和美誉度提高的青岛的级别。  对东营人来说，家门口存在了几十年的石大走了，情感上确实会不舍，觉得自己的学校不要自己家了。以前石大没走的时候，东营人绝大部分都是把石大捧在手心上的，家里有学生的，小时候都会听家长说，好好学习，以后上石大。但东营人再怎么看重石大，也没有能力帮石大留教授招学生。  而在青岛人眼中，石大可能还不如青大。   青岛的石大虽然学校挤，建筑新，没有历史感，但从东营到青岛，对学校来讲，利大于弊，对长远发展有帮助。  这几年石大的离开对东营是有影响，但没走之前影响就不太大了，走了之后，离开的影响也没吹嘘的那么大。就是没了211大学，面上不好看。石大或者说市府也留了个后手，没把东营校区直接撤了，石大的户口什么的都还在东营。11年之后，市府抓住了不少机遇，现在一二把手，没事天天进京找部委要政策，十三五的政策都是市府提上去，国家又批下来的，市府要不是使劲争，上面才不会主动给你。至于经济下行，君不见，全国各地日子没几个好过的。   ps：顺便说说另外的几个回答。  东营市府那边现在有五大班子，市委市政府人大政协和纪委。  而胜利石油管理局不能算东营的市级行政，东城开发之初，可能说基地是油田的，东城是政府的，但现在市府大面管全市，具体管东城，西城都扔给了东营区。油田效益低，管理局的底气不如以前足，油地是有矛盾，但你不能把油田自己的锅都甩到市府这边。  石油大学不是副部级，校长跟市长是一个级别的，正厅。说它是市级行政那就更是无稽之谈，你不能认为一把手的级别跟市府一样，就把单位当作行政单位。  说到军区，东营从来都是军分区和济军基地，现在战区调整，下面当然也会变动，况且，军分区、边防部队和济军基地目前都还在。  东营最好的高中是油田一中，胜利教管中心现在在教育局名下，但两套系统还是独立的。一中和二中基本就能把油田子女收足，实在不行的，也有去河口十三中的，那些去某乐一中的，都是自己中考分数低学校不要，又不想去河口的。况且，垦利一中已经在招油田子女了。另外，一般地方子女也不能去全东营最好的高中读书，只能在东营一中和二中里挑，考不上的也有去外地借读的。怎么不说是油田歧视地方，不把最好的高中放开呢？  至于大王镇，要说广饶谋求独立，还能说一把，知不知道，一个地级市或者说县级市成立的标准是什么？大王镇再怎么强，也不会到建市的地步。南方东莞中山下面都是市管镇，东莞一个镇就比东营一个区强，他们都没有说自己要建市。  东营天天绿化，天天修路，一是为GDP，市里的GDP根本就是靠市政带起来的，市府一停下折腾，GDP就下来了。不过，植物园公园多了，也还好吧，大剧院和万象建起来之后，觉得东营人都多了起来，市府想拿旅游补第三产业的短板，可还是一口吃不成个胖子。
