谈谈国科大，上科大，中科大的综合排名？,果壳略难于中科大于剩下两个，南科上科难度差不多，貌似分数只占70%。果壳，南科，上科都是新学校，本科毕业生没有或很少没法判断培养质量。中科大老牌名校，实力国内仅次于top2。
中科大和国科大到底哪家强？,  匿名用户：国科大在科研上真的和清北旗鼓相当吗？  
我是华中科技大学法学院的学生，想考广告学的研究生，中国传媒大学的广告真的很难考吗？,你一段话里有四个没有直接逻辑承接关系的内容， 喜欢创意设计—独爱视频—不会动画—有多难考。  广告不等于创意设计、视频、动画中的任何一样东西， 广告是为了帮助企业主贩卖产品或服务并且获利， 广告，以及法学，都是需要极强逻辑思维能力的学科，  （其实我挺怀疑题主法学的绩点是不是很低，单从题干的这段逻辑性极弱的话来看。求折叠，我就是来单纯吐槽的。）
新闻学去台湾交换，台湾大学需自费，台湾科技大学和中国文化大学，台湾中正大学不需自费。如何选择？,5万台币才一万rmb而已，台大的等级跟台科大、文化、中正相比，就好像北大跟北京科技大学相比一样。  难不成你真的相信天大地大台科大？
有进科大少年班资格，该选择进中科大少年班还是读完高三争取冲刺清华？,看去中科大的专业，如果是楼主所喜欢的，感兴趣的，未来你会破除对所谓清北的崇拜，会庆幸你的选择。  当你有能力选择的时候，就选专业，提前瞻望未来的老师。
本科学数学，大家觉得复旦和中科大之间如何选择？,男的去复旦 女的去科大
东南大学 中山大学 华中科技大学 中国政法大学选择哪一个？,看你前三个选项都是工科类院校？想读工科？  那么肯定希望有一个地域，实力都挺好的高校。  我倒是推荐另一个选项，哈工大深圳校区。如果想要在广东就业，这是最好的选择。
中科大附近哪里可学素描（零基础。。）?,中科大本科是有选修课的。老师人很好，别担心成绩，不会给太差的。我经常敲课，老师还给b-，嗯，最低的。
中国地质大学为什么有两个？,这个问题说来心酸。 50年代初，为了新中国的建设，国家在北京市海淀区学院路建设大名鼎鼎的学院路八大高校，学院路也因此得名，那时候中国政府在苏联教育体制的影响下，于1952年进行了高校的院系调整，硬是拆分了一些有着悠久历史的学术上很有影响力的综合大学，老牌的高校几乎都难逃拆分的噩运，建立了一批以专门学科为主的高等院校，从而确立了按照专业条块分制的高等教育体制，这些新诞生的学校就是：北京矿业学院（原中国矿院，现中国矿业大学（北京）），北京地质学院（现中国地质大学（北京）），北京钢铁学院（现北京科技大学），北京农业机械工程学院（现中国农业大学（东区）），石油学院（现中国石油大学（北京）），北京航天学院（现北京航空航天大学），北京医学院（现北京大学医学部），北京林业学院（现北京林业大学）。因此这些学校的校史无一例外的都是52年，可以说是那个时代背景下诞生的八个兄弟院校，当时由于道路和交通条件的改善，八大学院的也随之名声远播。  岁月流转50年，如今的“八大学院”早已升级成大学，有的名字都彻底改变，有的早已搬离了原址。如今的学院路上，分布着20多所新的高校和科研单位，变得更加热闹和繁华。如今的年轻学生已经数不清“八大学院”到底都有哪些，但许多老校名还依然被挂着人们嘴上：哦，你是钢院儿的……   来历：工业化进程诞生“八大学院”  上世纪50年代初，实现国家工业化体制，是百废待兴的新中国急需解决的难题之一。面对即将到来的经济建设的高潮，旧有的高等教育特别是工科教育的体系与建立独立完整的国家工业化体系的需要极不适应。于是，当时的中央人民政府决定进行高等学校的院系调整，按照苏联的高等教育集权管理、高等教育国有体制和高度分工的专门教育体系来建构中国的高教制度。  翻开历史文献可以看到，1950年6月1日，教育部部长马叙伦在第一次全国高等教育会议上首次明确提出：初步调整全国公私立高等学校或其某些院系，以便更好地配合国家建设的需要。于是，全国范围内的高等院校除留部分综合大学以外，许多按专业设置拆拼重新组合成立各科专业学院。  北京的高校在这场院系合并中十分积极，当时北大、清华、燕京、辅仁大学院系以及许多专业学校的立刻合并新组了8个专业理工科高校：它们就是北京地质学院、北京矿业学院、北京钢铁工业学院、北京航空学院、北京石油学院、北京农业机械化学院、北京林学院和北京医学院，即人们所说的“八大学院”。  为了兴建校舍，北京西北部的海淀区规划出一大块大学区。于是，1952年，北起清华东路，南到蓟门桥，在当时还是一片荒芜的庄稼地上“八大学院”校舍相继破土动工。这八个学校校园两两相对，由北向南排开，中间形成一条宽阔的大道，这就是北京最早的大学城–– “学院路”。   “八大学院”的迁移  上世纪60年代末，“八大学院”中有四个迁离了原址。  从1969年开始，由于国际形势严峻，全国战备工作升级，许多大中城市开始疏散人口。一些当时的领导人提出，如农业学院、矿业学院怎么能待在城里呢？于是，1969年10月，随着中央一声令下，“八大学院”中四个离开了北京。  中国矿业大学1969年开始迁往四川重庆，后又被安置到合川县三汇坝，1982年则迁往江苏徐州矿区。中国地质大学迁往湖北武汉。石油大学迁往山东东营胜利油田，改称华东石油学院。中国农业大学先是迁到了重庆后又迁到河北邢台。“搬家都是整箱抬着精密机械，别人都管我们叫‘箱子大学’”农业大学党委书记艾荫谦告诉记者。北京钢铁学院本来也确定为外迁，临上火车的那晚，紧急通知留在当地，于是钢院幸运地留在了北京。  迁移的几年中，学校只招了工农兵学员。直到上世纪70年代末恢复高考，几个风雨飘摇的学院才陆续回到北京。他们中大多数重新回到了学院路，只有石油大学搬到了昌平。  上世纪80年代至90年代，八大学院陆续更名为大学。北京钢铁学院更名为北京科技大学。北京林学院更名为中国林业大学。农业机械学院更名为中国农业大学。北京航空学院更名为北京航空航天大学。地质学院更名为中国地质大学。石油学院更名为石油大学。矿业学院更名为中国矿业大学。北京医学院并入了北大。  先说说北京矿院——中国矿业大学（北京）。作为当年最辉煌的学院之一，也是现在最落魄的之一。原中国矿院（在天津）系1909年的焦作路矿学堂发展而来（焦作路矿学堂是当时有名的18所私立学堂），历经福中矿物大学等阶段，基础较好，后来又接受了清华大学、北洋大学、唐山交通大学相关科系的并入，实力很强。文革时迁到四川合川办学（条件极差），是八大学院里迁得最惨的。就在这短短的几年里，发生了让矿大人至今愤懑和耻辱的一件事（这件事影响巨大，甚至是矿大衰落的重要原因）——划地北语，那堵长长的墙至今让多少老教授为之落泪。矿大也因此在北京众多的同类的高校中，校园面积是最小的。1978年经邓小平批示，在徐州建校，同时在北京留守处设立北京研究生部。1997年成立中国矿业大学（北京校区），2003年正式称为中国矿业大学（北京），成为研究生和本科生教育并重的教育实体。但是徐州和北京的分裂影响了学校的实力，这所14次搬迁、11次更名的中国最会流浪的大学，正在孤独地高举着矿业大旗，是全国唯一一所以矿业命名的院校。  最可怜的当属石油大学，在搬迁后迁到山东办学，学校的整体实力也是留在了山东，目前的石油大学已经被挤到昌平，老石油大院已经挂上了石堪院的牌子，还总让人误以为那就是石油大学，新诞生的石油大学，实力远不及山东东营的母体，都说缺了油院的学院路老八校的风采早就不在了。  再来看看北京地院——中国地质大学（北京）。相对矿大来说，地大要好一些，你可能会发现，武汉的地大和北京的地大都打着括号，一个后面是武汉一个是北京，说明两个学校已经完全分开了，自从和武汉的地大完全分开后，地大（北京）大有振兴之势，加上前任总理温家宝就是当年的地大一员，似乎形势有所好转。但是，和矿大一样，由于校名、两地办学和从事“艰苦行业”的问题，想要恢复当年的辉煌，恐怕也十分份艰难。  再来说说林业大学，这个目前号称中国绿色最高学府的生态高校，也是遥遥欲坠，早不如从前了，林大是搬迁的比较早的一个学校，辗转过云南昆明、下关等地办学，先后流浪了多个地方，一路上师资、图书等教学资源损失惨重，返京建校的过程亦相当的曲折，最后因林大先辈的努力，经过包括周恩来、邓小平等多个领导批示以后，终于得以在原址从复校，可此时，林大的植物园占原校园面积三分之一的土地被半导体研究占用，原先的植物园一系列建筑全部损坏，现在的林大仍然顶着绿色学府的牌子，在学校发展上少有创举，渐渐的就被埋没了，究其实力与同类的林业学府也很难分高低，加之农林类院校一向不被看好，发展可谓缓慢，在高校云集的学院路，已经早早的被八大院其他兄弟甩在了身后，作为最有特色的学府，林业大学要走的路还十分的漫长。  还有农业大学（东区）。1995年农业机械工程学院和北京农业大学合并组成中国农业大学，实力大增，现有19个国家重点学科。是中国乃至亚洲的农业最高学府，就综合实力而言，农业大学和北航基本平行，然而同样由于名字的问题，农大总是给人一种较为弱势的感觉。也难怪校长陈章良说，如果农林地矿水类学校改名，招生将会有大的改观。  北京医学院——北京医科大学——现在的北京大学医学部，摇身一变，不晓得是不是应该将他从现在的八大院校里除名。实则北医也是历经坎坷，和北大分分合合后最终还是成了北大的医学部，其实北医的实力一向都是被医学界高校认可的，辗转流离之后仍然有很多专家留在北医，它对新中国的医学教育也做出了巨大的贡献，划归北大后显得有点不伦不类，不知道北大能不能真正的把北医容下，以后北医渐渐的就淡出，人们知道的也只是那医学部前面的四个字。  还有北航，神1到神6，无不等于是在为他做免费宣传。同时目前这种形势，北航想不发展都难，由于没有搬迁，校舍保存的相当完好，加上是国防科工委的学校，资金一直充裕，发展很是顺利。据说前不久北航要改名为“北航大学”提升地位，结果遭到海内外校友在内的很多人士的一致反对，北航走到今天这个地步，源于很多因素，时代在变，高校的发展可能也在轮回。  北科是这几个高校中，改名最彻底的学校，直接与其本身的特色无关，填补了首都没有科技大学的空白，想当年钢铁学院是多么的强势，同类学科绝对是王牌，可是就是这样的一个非常有特色的学校，也在高校评比机制下迷失了自己，也是由于没有搬迁，其实力也完整的保存下来，加上奥运会场馆，北科也火了一把，可是对于那些老校友来说，海淀的钢院，才是他们记忆中的母校，现在的科大可能正像同类高校中国科学技术大学嘲笑的那样，去掉了“学”和“术”就叫科技大学，不是不“学”无“术”吗？  改名、合并，或许是振兴这些老牌名校的捷径。这些为了新中国建设长期面向艰苦行业的大学们，现在面临着十分严重的生存危机。北四环的修建，将这些学校分开，南面的北航依旧辉煌，北医则嫁了贵人；北边的地大、矿大风光不再，农大复兴道路还很漫长，林大躲在西边北大清华的影子下，止步不前，北科仍是在钢院的阴影里被人嘲弄，石油则完全地从学院路消失……  本来听说本世纪初李岚清副总理打算将地大（北京）、矿大（北京校区）、北科、北语四校合并，通过跨街天桥连接，组成类似“中国资源大学”的华丽型大学。但是，由于北语的阻挠（因为利益关系，北语不承认自己是大学，而是一个培训机构，故不在高校合并之列，教育部因为有利益关系，默许了），合并失败。于是，这些学校失去了一个很好的整合振兴的机会，而阻拦它们的竟是一个后来的，成立不到30年的“培训机构”，历史又一次开了一个个大大的玩笑。然而这些为共和国建设付出惨重代价的高校，是不是也应该适当性的得到点扶持呢，学院路已经没有了八大院，难怪有人说，如今的学院路哪还有学院，的确是这样，这都是为了发展，不得不为之，然而结果却不尽如人意。  如今，石油大学搬到了昌平。四环路把北京航空航天大学、北京大学医学部和另外几所高校隔离开来，那座立交桥也因此得名“学院桥”。学院路变化越来越大，学校也越聚越多，目前近20所高校云集至此。 1998年，“学院路高校教学共同体”诞生并延续至今。除了老“八大学院”外，北京邮电大学、北京电影学院、北京联合大学应用文理学院、首都体育学院等8所高校也加入其中，所有共同体的高校的学生们可以互相选修课程。“学院路高校教学共同体”在选课、交费、信息查询等教学运行管理上已实现全程网络化。  50年代“八大学院”的辉煌过时迁物移。最近有人传出“京城新八大学院”的‘顺口溜’，比如“ 乐在工大、火在财大、阔在外大……”提起上世纪50年代的老“八大学院”，年轻的80后、90后学生会感到茫然：哪八大学院？  无论如何，以往辉煌的“八大学院”走过了50年风霜雪雨，他们就像八棵饱经沧桑的老树，伫立在学院路上，微笑着见证北京高校50年的变迁。同时，已经遍地桃李的“八大学院”也不断汲取新的营养，抽枝生芽，愈加枝繁叶茂。  学院路八大院校已经是一个遥远的名词了。是啊，总是需要有人牺牲的，让我们祝福这些付出太多而又处境尴尬的奉献者：一路好走！   旧时光景——北京地质学院老照片         附：“八大学院”之最   北航社团活动之最  北航数目众多的社团曾是北京高校社团之最，号称“百团大战”。虽然是理工科院校，但目前北航共有体育、文学、艺术、经济、科技等社团70多个社团，比如著名的凌峰社以及网球协会、军事协会、大嘴英语爱好者协会、大学生心理协会、漫画社等。不管学生有什么爱好，在北航的社团里都能找到类似的群体。每到社团招新或者社团文化月时，社团成员就在学校里支起一个摊位，向新生介绍社团活动。  此外，北航还拥有全国高校中唯一一个艺术馆。艺术馆定期展示国内外当代艺术作品以及传统文化，面向师生免费开放。   地质大学院士数量最多  中国地质大学也先后有30多名院士，如今最高龄的院士已经近110岁。地质大学在老“八大学院”中是院士最多的学院，上世纪50年代至70年代，当时的地质学院培养出众多两院院士，比如中国月球探测工程的首席科学家，被誉为“嫦娥之父”的欧阳自远，就是1956年从地质学院毕业的。  按照以往院士和每年的学生人数比例计算，平均2000人中可以出一个院士。学校经常以此激励每届新入学的学生：你们这一届中至少要出两个院士。   钢院的市长数量最多  现在北京科技大学相关负责人介绍，钢院素有“市长摇篮”之称，国内有30多个市的历任市长或副市长毕业于原来的钢院。  据悉，在钢院中曾经担任市长、副市长的有，原北京市市长刘淇、副市长孙安民，上海市市长徐匡迪、副市长朱宗葆，重庆市副市长赵公卿，南京市市长王宏民、副市长黄孟复，广州市市长张广宁、副市长陈明德……巧的是，北京钢铁学院第一任院长高芸生曾经担任黄石市市长、第二任院长张文奇曾担任唐山市解放后第一任副市长。   地大的登山运动员最多  在大学界，有这样一句话：登山对于中国地质大学而言，就像中文如北大，理工如清华。地大并没有专门的登山专业，但登山是地质专业的必修课，许多学生都成为了有名登山家。  1958年，当时的地质学院建立了我国第一支业余登山队；1960年，1958届毕业生王富洲登上珠峰；1961年组成的女子登山队登上新疆贡格尔久别峰（海拔7595米），创造了女子登山的世界纪录。据校史记载，地质大学先后有5900多名师生获得国家体委颁发的登山运动员证书，确是可以称得上培养的登山运动员之最。
中科大MBA报什么培训班？, 我是去年的学员，已经被中科大录取了，也算是正式圆了自己长期以来的一个梦。我在科大东校区的一家辅导机构上课，当时的学费是12000（给你参考）。我们当时上课老师都是从复旦大学、人大、浙大、中科大、上交过来的，可以说每一节课都过得很充实。老师们人也很棒，有什么问题都能细心教导。中午大家一起在教室吃饭，一边吃饭一边海吹，其乐融融。大家平常在外不管是什么身份，但是在这都是一样的，都是好学的学生。我们是这个补习班的首届学员，学员人数不多大概有20多人吧。学生跟老师都关系很好，大家也在学习的过程中友谊不断深化，甚至每个人都有一个绰号，大姐、二姐之类的不管男女之类的（手动捂脸）。  另外，去年我们所有人都达线了！！！虽然是辅导班里面第一届学员，但是每个人都达线了，平常模拟考150的五姐最后都考了209！成绩出来的那个时候，大家互相道喜，尤其后来张老师告诉大家考试平均分都在210的时候一群人立马就簇拥着老师要出去happy。当时我真的是热泪盈眶，一想到自己考上了科大的MBA心情实在难以平复下来。  忘了说了，我的成绩是215，面试是优。     ---------------------------------------------------我是分割线----------------------------------------------------------------     为了避免有打广告的嫌疑，我匿名了，另外也不讲辅导班名字了（但是提示一下是跟科大有关）。我参考了自己的考研经历总结了下面几个选择条件：   1、老师是否全程线下授课（方便老师与学员互动）；    2、老师是否有经验的名校名师；    3、辅导班录取率如何；    4、辅导班价格。   恩，以上就是我所有的回答内容，有问题欢迎评论里面提问讨论 
