武汉大学与华中科技的计算机科学专业好吗？,一个个都在黑武大的。。。。来来来我来平个反 教材落后十几年，这个你不能说叫落后，这个叫做选用经典教材 老师大部分只会念ppt而且还是从网上下的，每一章风格都不一样，这个叫做尝试多种教学风格，满足各类学生的需要 coding氛围差，这个你应该叫做理论基础扎实，重视课程教育 本科教育不重视，这个叫做给予学生足够时间自学，发扬学生学习积极性 机房电脑能开机的数量不多，这个叫做培养学生不畏艰苦的信念和克服困难的能力 学校对学生团队支援差，行政槽点一大把，这个叫做历史悠久，文化底蕴丰厚和继承了优良传统 综上所述，武大的计算机专业本科是历史悠久，文化底蕴丰厚和继承了优良传统，选用经典教材，尝试多种教学风格，重视理论基础与课程教育，同时给予学生充足自学时间，发扬学生积极性和主动性，培养了学生不畏艰苦的信念和克服困难的能力。 所以题主还是去华科吧
历史悠久的综合性大学的女生，比如北京大学湖南大学武汉大学厦门大学，都有那些独特的气质?,谢朱哥哥邀。   开门见山直接答题：武大，几乎没有。  百年名校的独特气质？那是必然有的。  百年名校女生独特的气质？走在人群里，一眼看出来那种？基本不存在。 毕竟这么老这么大的学校，你才念几年书啊？   下面是强行总分总式洗地： 强行概括总体风格四个字：大方得体（还能吃？）。 下面按地域和学部两部分来说： 武大的生源五湖四海，不过以华中略多。 两湖的妹子都能吃辣，性格以“老子信了你的邪”为典型，湖南妹子一口塑普尾音极具魅力。 广港的妹子很多阳光活泼，玩得开，偶有萌萌哒，但矫情的少，从小吃的花样特别多。澳台的妹子窝没见过，求约。 福建海南的妹子很多比较小只，说普通话比较轻慢温柔（“普通话发音好难嘤嘤嘤！”），矫情的少，超爱水果。 我们安徽和江西的妹子们人数不少，说实话存在感不高，大概是温婉惯了。 江浙沪妹子，最萌，最矫情，最爱甜食，不说了，爱。 北方妹子么，人数有限，实在是了解得不多，但是山东妹子好多太高了，经常让我感觉自己矮矮哒，北京天津妹子最落落大方平民女神范儿，尤其是天津妹子一口哏味儿普通话，窝好想跟她们一起讲相声=。= 西部妹子见得更少，见过两三新疆的妹子炒鸡美。 留学生妹子远在枫园，实在没接触过不敢乱说，sigh  我在信息学部。我部的妹子们啊，能稍微花点心思在打扮上吗？不是我直男癌，你们不要拿专心学术、不想要男人这些鬼话作为宅寝室不打扮的借口，好嘛? T^T不过没关系，你们永远都是窝饭桌上的好基友。 每次走到文理学部，无论自然风景还是“人文”风景都靓丽了很多。散发出青春风采的妹子比例高了很多，不过还是有很多坚持朴素风格，当然也有大浓妆。。。去年我还最爱碎花大长裙的姑娘，今年我已经转头拜倒在牛仔衬衫小黑裙之下了。那些从樱园、桂操、珞珈山走过的姑娘们啊，你是窝心里永远的风景线～ 工学部总样本容量太小了，我实在不了解那些行走在大堆工科男里的妹子们，只能遥祝万安。不过，五姑娘们可要注意保养啊。 医学部，太远，功课太重，总人数太少，所以几乎没接触过。向白衣小天使医护妹子们致敬哒。  武大的妹子们在我眼里都是生活的艺术品，精妙而不娇贵。 简而不凡，直而不肆。 么么哒。
武汉怎么样，武汉大学怎么样？,谢邀，我本人没去过武汉，我一个高中同学在武汉上大学，根据他朋友圈了解到，武汉降雨多还热，不过吃的挺多，抱歉，真的不了解
待在武汉大学学生会是怎样的体验？,别的不知道，做武大学生会身体应该很好 @王敏学
武汉大学大一的生活是怎样的？,以经管为例，人多自然有人多的特点  刚进学校，最重要的事就是，带着地图！带着地图！带着地图！如果你是路痴，一定要，带着地图！然后学会问路！  反正刚来肯定都雄心壮志，想要挥斥方遒，指点江山，大学啊，我终于能一展才华了！  最后发现身边优秀的人那么多，出头的也就几个，自己依然默默无闻  会被社团招新扫楼发传单刷屏，会加很多社团（不得不说，武大的社团，真的是，太特么多了，院级校级几百个），然后认识各种学长学姐，被副部请吃饭，感觉非常棒，过几个月，就开始怀疑了，过一年，愿意留下来的也就一两个  军训的时候会觉得天上有九个太阳，开学典礼会认晓红为男神  觉得武大好他妈美，觉得夏天好他妈热，觉得冬天好他妈冷  开始上课的时候，先对砖头一样的书充满好奇，觉得里面充满了知识，立志要头悬梁锥刺股，但当你发现很多课是可以随便翘的时候，直到考试你才发现书上连名字都没写  进了新班，发现那个女生好漂亮啊，一年过去，只知道人家叫什么，好友加了一年没聊过天，如果不是班委，基本认不全班上的人  觉得校园里什么都有趣，又想去各种吐槽  看到许多来武大拍婚纱照的，心想将来自己也要带着另一半来这里，然后过去了一年，最好的另一半成了电脑  但身边大一刚来不久就在一起的，基本都分手了，你也不觉得怎么委屈  生活方式无非是穿梭于教学楼与图书馆，或者穿梭于各种活动比赛，或者穿梭于寝室和食堂  间歇性雄心壮志，持续性混吃等死，有目标的大一就准备出国保研四六级，没目标的大三还在想自己要干什么，无论你在北大还是武大  到了期末才发现，人生第一次为了及格而担心，熬过了高考一点都不慌，却为了期末担惊受怕刷夜叫爸爸  突然有一天你发现自己快大二了，心想卧槽这么一年就过去了？本来还是小鲜肉，突然就成腊肉要去勾搭小鲜肉了，突然就成副部要带自己的小部委了，突然过了大二大三大学基本就结束了，可明明觉得大学还没开始  然后你的大一就结束了  你要很久之后，才能知道自己得到了什么，又失去了什么
中南大学和武汉大学到底有什么仇？为什么非要把武汉大学排在全国第四？, 校友会网的专家们制订了自己的一套为高校排名的评价体系，人家按这套体系排之后就是这个结果。你先去查查这套排名评价体系由哪些方面组成的、各占什么比重再说好吗？ 
为什么武汉大学可以学校综合实力排名第五，录取分数线在北京却只有620分左右？,看了你写的学习强度大，不得不在医务室滴葡萄糖很有感触，想起了高三的自己，成绩不稳定，压力很大每天很累，也是能考上个985就很满足了，对考哪个学校感到很迷茫。 你的几个疑问我当初也有过，现在作为即将毕业的武大学生谈谈我对这几个问题的看法。   首先你的第一个问题 ，关于武大分数线，分数线低是地理位置的原因，你看看各大学分数线就可以发现，凡是在北京上海的大学分数线都比同类型大学分数线高的多。我看你的情况跟我当时差不多，成绩中上但又不是拔尖，就像你说的武大你相信还是有实力考上的。个人觉得武大分数线低对我们来说是好事，地理位置是重要，但如果去北京上海上不了清北复交这样第一梯队的学校，去其他学校就不如去武大性价比高了，至于性价比高在哪等下再说。   第二个问题:  对然我不是重庆大学学生，但当初报志愿也了解了一下就简单说下吧，重庆大学建筑系挺不错，在国内排名挺靠前。你说你比较喜欢计算机，那华中科技大学推荐你了解一下的，也是在武汉地理位置不行，但工科很强，能学到很多东西（惭愧，我是个经管混子。。），你说的毕业后安安心心工作，攒钱买房。。朝九晚五的目标可以轻松实现。但作为学长友情提示一下，学计算机大学会很累，而且妹子什么的呵呵哒。。。不过确实是学真本事。像我学的会计 班里40个人7个男的。。有质量有数量你懂的。但现在学经济的太多了，而且比较虚，就业并不乐观。   第三个问题:  我也有挺多想说的。首先入学会有军训，期间应该会选班委，选个班委干干还是挺好的，可以很快认识班上的同学，然后会有社团学生会招新，建议参加一个学生会，然后两个社团，当然了一定要选质量好的，像武大经管院社团多了去了质量高的真的厉害，真的能提高你的能力，而有的社团就比较烂。怎样进入好的社团呢？ 有个捷径就是高考完的暑假学点电脑技术，学学用专业的软件做视频，ps什么的，因为每个社团都有个部门叫做技术部，大一学生傻不拉几会技术的没几个，你到面试的时候把你会的这些技术一说，他们会争着要。如果不会技术就要直面竞争了，会有各种气场强大口才好的学生跟你竞争，好的社团经常是一二十个人录一个。为什么说社团这么重要？因为大一大二除了上课学习，其他的时间80%都会和社团有关，有了社团你大一大二的生活就不会寂寞，会有很多有趣的活动，很多热心的学长学姐帮你解答各种问题，认识很多人交很多朋友，当然了想交到好朋友还是很难的。   前面说到选武大的性价比高，就说说高在哪吧：    1.知名度高 认可度高  武大在国内的知名度很高，想我身边就有很多湖南江西广东香港的同学，他们都很认可武大，还有很多台湾的同学。去年暑假去深圳玩跟一个叔叔吃了顿饭，他说深圳光蛇口就有2000个武大校友，珠三角的武大校友就更多了。你家在重庆，所以选武大不论将来回重庆发展还是去广州深圳等地发展都很有优势。而且武大在国外的认可度也很高，像我今年申请美国的研究生，gmat托福都不高但是进了我的dream school，后来跟招生官聊才知道武大在美国很被认可，我的gpa3.4不是很高也要了我。其他很多托福100+ gmat700+的学生都被拒了。   2.自由包容  很多人说选伴侣是选择一种生活方式，我觉得选大学也是。在武大，不论学渣还是学霸还是学屌都可以活的很舒服，想学习有高大上的图书馆，硬件一流。想玩有各种社团活动很多，宿舍晚上不熄灯随便嗨。梅操每周五放电影，放啥大家投票选都是很流行的。经常还有大牛来学校做讲座，运气好能碰上得诺奖的。学校开放式大门进出没人管，一周不回寝室也没人查你，上课想学习有牛逼教授，想玩找人帮点到课随便翘，我大学感觉上的课和翘的课55开。。。总之就是大学四年会过的非常爽。。。嗯，很爽。。   3.校园风光好，美女多  我宿舍对门就是珞珈山，打开窗户放眼望去像一片原始森林（懒得传照片了你自己想象一下吧），春天有樱花，夏天可看海，每天上学就像走在山里（文理学部），出了北门就是东湖。  因为南方好大学比较少，所以很多南方妹子都选择来了武大，美女数不胜数，每天上课教室都是香的哈哈。   嗯，就写这么多吧，前面回答你的问题。后面顺便回味一下我的大学生活哈哈~
浙江大学和武汉大学的新闻与传播专硕该怎么选择？,浙大专硕在读，wd不了解，不多说。浙大新传教学氛围非常好，新闻所和传播所所长分别是吴飞和邵培仁，说出这两个名字，基本上专业水平就出来了。另外，经常会有国内外专业大牛来讲座，都是比较前沿的知识。另外，杭州互联网氛围很足，不知题主有没有新闻理想，如果有，建议你去北京。学费会以奖学金的方式退回，这个不用担心。另，在杭州基本勤快的人都饿不死，网易等公司都欢迎新闻狗去做做运营。
在武汉大学文学院读研究生是一种怎样的体验？,我是武大文学院14级的研究生，专业是汉语国际教育，虽然你想考现当代，但其实大同小异。 你问到了体验，我就说说我的这两年的感受。首先我在这里碰到了很多志同道合的人，因为大家都是学中文的，虽然方向不同，但实际上很多都有一种文人风骨在里，也都是一群比较感性浪漫的人，虽然在这个社会里，学中文的这群人好像并不被看好，但是每个人都是活给懂得人看，在这里你就可以碰到很多懂的人，我觉得这份文心给予了我极大的尊严和力量，也给了中文学子不同的气质。 另一方面，这里全靠自己，文学院有很多好老师，各具神通，如果你在哪一方面有兴趣，真的可以自己联系老师，自己多学一点东西，但是自己得主动，即使你暂时用不上，但是你总会从中获益。 武大很美，文学院有很美的气质，一定要高傲，文学院学子的高傲
今年武汉工程大学全日制本科助学班还招生么？,听说还在招，武汉工程大学教宿分离，所以住宿区不在教学区内很正常。
