关于往年考研武汉理工大学艺术设计的专业课考题，手绘都考什么呀，有什么倾向呢！17考研狗求大神解答啊，？,同问，要提前联系吗
武汉理工大学材料系怎么样？,非常好，无论是就业还是考研，像复材无机非都是全国前两名的专业，每年整个材料类专业大概一半以上的人都保研或考研，除了去本校，主要以清华，上交，华南理工和华科为主，还有去上硅所和中科院研究所深造的，就业方面，复材高分子金属的去一汽上汽等车企的比较多，无机非金属主要去建材集团或施工单位，本科生待遇起薪基本在五千元以上，平均大概五千到五千五之间，硕士年薪的起薪大概在9-11万居多，当初我硕士毕业签一汽的时候，给的起薪是十八万一年，算是较高的了，还不包括一些奖金什么的。博士毕业的就比较厉害了，大概起薪16-18万居多，当然，与个人能力挂钩，总的来说，材料类专业就业在工科中处于中上水平，武汉理工的材料就业基本上是没有问题的。
武汉理工大学的文科资源怎么样？,理工科学校里的文科自然是有些尴尬，学校各种排名各种高级学术活动几乎都被理工科一手包揽，人文讲座也不是很多，这当然能说明一些问题，但是又不能说明一些问题。 理工大的一个很大优势在于其211的身份，材料等优势学科和毗邻武大华师的地理位置（马区）。211身份对于考保研找工作的作用不多说，说说地理位置。地理位置优有利于资源共享，去邻居学校参加活动听宣讲会不用太担心路程的问题。想当初brt没通的时候，去趟财大简直把人搞死！ 老实说，那些经常吐槽理工文科怎么不好的同学有多少人真的好好珍惜学校资源了。社科类的讲座看看底下多少人在玩手机，老师班干强制去听讲座难道就不值得听吗？我记得有一次经济类的讲座提问环节还是一个理工科的学生提了一个特别专业的问题，许多相关专业的本科生都是不懂的。这是不是很打脸呢？ 环境是一个影响因素但不是不能改变，关键还是看自己。理工大是文化氛围不行，但是里面也有非常有思想有内涵的同学老师，文理科的都有。文科里也有保到一等985的同学。总体来说，其实理工所提供的平台并不差，就看你自己怎么去发现和利用了。 现在学校有注意到这个事情，也是在不断改善中。
求问武汉理工大学研究生宿舍情况，文科强大么？,文科不强，宿舍条件比较一般
武汉理工大学，难道就没人举报老九栋这种住宿条件吗？,好像我皇家大理工越是热门专业住宿就越差？
山东大学威海分校和武汉理工大学那个好点?,山威有三大优秀专业:朝鲜语，空间物理，海洋工程，你如果对朝鲜语没有兴趣，那就比较尴尬了。 不过对于文科专业，985的资格还是很有用，毕业证上也是山东大学，所以我觉得还是比理工大强一点点，特别是理工大的文科也不怎么样。
武汉理工大学什么专业工资高 车辆工程吗 还是通信工程？,这学校平均工资也就3000 4000  无所谓高低了
大家好，我是武汉理工大学船舶与海洋工程系的一名学生，在此恳请大家一起帮帮忙，在此感激不尽！?,哎，事要是真的，只能劝你同学，想干点啥干点啥吧，别把那最后一点活着的时间都浪费在医院和无穷尽的点滴里了，想吃点啥吃点啥，想去哪转去哪转吧，哪天彻底走不动了也不那么后悔。
山西文科546分，全省2167名，只能报考西安电子科技，武汉理工这些大学，是否应该复读？,怎么可能ԅ(¯ㅂ¯ԅ)这个不上不下的阶段学校多了去了。  文科这分可以选择很多211和不错的一本，为什么要在理科大学上抱着不放？读文史哲金融设计什么的很多，而且我觉得你们山西的推荐学校很迷，不是东北就是山东(ಡωಡ) ，南方也有好学校啊，尽量往三角挤挤。  要是理科的话还是想想好的二本，把12个志愿都填满吧。
收到学校认定核心期刊的用稿通知但文章尚未见刊能不能申请武汉理工大学免推研究生资格？,谢谢邀请，但这个事我是委实不知道，不敢乱说，建议直接去问校方或者相关人士
怎样评价武汉理工大学的矿业类专业?,武理工本校来回答，矿物加工，采矿这两个专业近几年以第一志愿填报不超过30%而且还有下降的趋势，大部分的人都是被调剂到资环学院的。很多非要考到武理工的人，资环学院是个很好的跳板，方便转专业！啊！！只要你有人脉or你绩点突出，转个专业不难。答非所问哈？！
本科是武汉理工大学材料系想跨专业考研到东南大学建筑，业务科一业务科二自学，成功概率有几成?,比回去高考进建筑难太多了
武汉理工大学和北京化工大学选哪个更好？,我也是，可我家在理工大旁边。。。最后报了武理，北化虽有地理优势，可刷了好久知乎感觉相关专业还是武理强一些吧，如果要读研读博选择武理也许会更好。 以上均属个人观点，轻喷。
武汉理工大学工业设计工程考研？,2018届考研
