西北农林科技大学可否合并北京大学、清华大学、西安交通大学、西北工业大学、西安电子科技大学来提升影响力？,西农不是985了  找不到学生是肯定的 但是越来越不值钱的一本分数线给了西农人一种自己分数线在变高的错觉 至于合并的想法 我认为西农人的生命是有限的 但是为其他大学做好绿化磨好锤子的工作是无限的 西农人应该认识到自己的七本尴尬处境 将教育部经费省下来 将教职工和学生分散到其他高校看门扫大街 这也算是另一种形式上的合并 以上
西安电子科技大学电院辅导员钱德年是一个怎样的人？,大家自己去导师评价网看吧，此人迫害学生，无耻混蛋，不想多说
如何评价西安电子科技大学强迫学生参加"学术之春"等诸如此类的活动？,搞形式主义，学术交流应该自主自愿。
将学生的私人信息泄露给银行，这就是西安电子科技大学的校风吗？, 刑法修正案九已经规定了：侵犯公民个人信息罪，最高人民法院也已经原则通过了《关于办理侵犯公民个人信息刑事案件适用法律若干问题的解释》，但还未公布实施。  所以，这种行为已经构成犯罪。 
本人黑龙江省596理科考生一枚。想问问西安电子科技大学和山东威海哪个更合适。？,要我就考吉大了
西北工业大学微电子专业和西安电子科技大学，哪个好？,软件与微电子学院是国家在有条件的大学设立的旨在解决“缺芯少魂”问题的专门学院，这说明西工大在这方面的力量还挺强。  但是，在西工大内部，力量被分成了四部分: 微电子与固体电子学的博士（硕士）点在八院（电子信息学院）； 国防重点实验室微电子研究中心在十院（计算机学院）； 教育部重点实验室集成制造研究中心在五院（机电学院）； 专门成立的微电子学院就是我们那。   目前学院还未划分出去，整体行政体系较散。
在西安电子科技大学就读通信工程是怎样的一番体验？,课很多 如果高中课业压力不太大的话并且你在通院想要每门课都学的比较精，可能会比高中还累。（通信专业很多课记的不亚于文科，记完还得推理）要是只想混个及格还是可以比较快乐的。如果还想参加一下竞赛，大多数人平时的课业就会搁置了，除非你有这个专业相关的灵感。（有时候在想自己拿现在学习的劲头去备战高考 可能也不至于被迫放弃自己的理想了） 通院牛人多，很多高考失利不得已来之，也有人是怀着对专业的热情来的，所以竞争肯定还是略激烈的  行政方面和学校其它方面就不说了，放平心态 睁一只眼闭一只眼就过去了 
西安电子科技大学计算机科学与技术专业的好坏?,好：妹子少，专注于代码事业！ 坏：妹子少，一辈子专注于代码事业！
如何看待西安电子科技大学校车被拦事件？,作者：l0nGYear 链接： 如何评价西安出租车拦截校园大巴事件？ - 知乎用户的回答 - 知乎  来源：知乎 著作权归作者所有，转载请联系作者获得授权。  题目：沉重的现代化之路 作者：肖中 （作者不是我所以就不匿了）  当我再一次呼吸到那浓重的雾霾的时候，我试着告诉自己，我从很小的时候已经搬到了这座城市，我仅仅离开了半年，我还可以习惯的，还可以的。  离开的半年时间里，我去到的那座城市带给我的感觉，似乎与这座城市所带给我的没有什么不同。从太平门进城也会堵车，老城区也会有破旧的马路与楼房，甚至当雾霾降临的时候，这座城市也同样不能幸免。我想，在每座二线城市中生存，感觉应该都是相似的吧，人们总能找到太多的烦恼，也可以在烦恼中发现不少的惊喜。  我从北门一路走到钟楼，在褐色的半透明遮罩中辨认着熟悉的轮廓。真是老熟人了啊，什么都没有变。我不知道我感觉到的是一种亲切感还是一种沮丧。西咸新区就要归西安来管了，西安会变么？  我小的时候就听说过一个词语，叫做＂大西安＂，＂大西安规划图＂上面有西安，也有咸阳。地图上的西安与咸阳近在咫尺，如果能够发展在一起的话，那西安是不是就跟深圳、上海没有什么区别了呢？  我们都知道后来发生了些什么。那剧情可笑坏了，真是西安与咸阳两座城市的一场虐恋啊，自从一体化的构想提出之后，两座城市便各自朝着相反的方向发展开来了。在我出发回到这座城市之前，朋友笑着拿出西安和咸阳警察火拼的新闻给我看，我应该习以为常的，对吧。  我走到了南门，朋友又给我发送了新闻，内容是西电的校园大巴被出租车强行拦停，还发了几个大大的呲牙表情。我似乎可以回忆到，我去过西电的新校区，也去过西大、外院甚至西工大的新校区，以及每所大学大门正对着的第三产业发达的村庄。我记得外院里面穿着拖鞋大摇大摆的农村老汉，西大南门那好似连到天边的小吃摊，西电门口拥挤的916，还有陕师大跳蚤市场里面机敏的小偷。他们的大学跟我的大学似乎完全不一样。  我习惯了享受发达的公共交通，虽然会在路上抱怨堵车，但也会暗自庆幸能够多在安静的车厢里多看几夜好书。我习惯在城里的大型商场买东西，尽管物价高但是方便又省心。我习惯在难过时去火车站前面的广场散心，我习惯穿过城市的大街小巷，哪怕看着老爷爷遛狗也会感到舒心。很遗憾，回到这里，我都没有办法去办到。  嗯，回到这座城市，这些我都应该习以为常的，就像西电门口的闹剧，年年都会上演，这些根本都不是新闻了，不是新闻。  再过几天，我南方的朋友再兴致勃勃地跟我谈起《哪里才能看到真正的兵马俑》这篇文章的时候，我会回复他：＂哦＂。就在一年之前，网上不也在流传着几乎相似的文章，西安的政府不也用了相似的手段查封了一批假的兵马俑景区么？  这座城市只有习以为常。真的。如果年前没有曝出那篇文章的话，你甚至还要习以为常地看着唯一通向兵马俑的正规线路306路被迫取消。回到西电的那一场闹剧，所有人都习以为常了，出租车车主习以为常地认为那里就是他们的地盘，有关部门习以为常地无法处理这些利益冲突，西电学生与老师出行难的问题，也将习以为常地，永远得不到解决。
电子科学与技术专业大三学生，估计有外推资格，西安电子科技大学与中科院研究所，如何选择？,首先谢谢你的邀请，也祝贺你，个人觉得中科院研究所应该是最优选择，中科院研究所拥有比电子科大更加专业的研究水平，前提是你想在这条路上走得更院，当然也会更苦，还有就是选好导师。
西安电子科技大学强迫现大三学生搬离新校区是否有其合理合法性？,知乎好多键盘侠，站着说话不腰疼… 我不匿名，我是要搬迁的学生之一。听到这个消息，一是觉得学校完全不尊重我们，因为招生的时候白纸黑字说了本科四年都在新校区，二作为一只考研狗带来很多很多麻烦事，三真的想安安静静好好学习努力复习，不想瞎折腾 学校没有说怎么解决经济问题，这边电费空调费水票都是一次买了可以到毕业的，这些钱怎么办？宿舍楼里的洗衣卡热水卡的钱又怎么办？同学们健身房以及学校周围商户各种预交费怎么办？学校会出面协调退款吗？这些经济损失谁来承担？ 老校区都是研究生哪里给考研同学准备自习室了？考研狗要天天自习要求教室开的时间久还不能有其他活动占用，学校也没有给我们安排，这搬过去难道要天天蹬个自行车去省图上自习？ 搬迁的时间是不是太折腾了？我要考优研计划，这个考试决定了我已经联系好的导师还要不要我，你们说这个考试有多重要？而搬迁折腾期在这个考试之前不久，学校让我们怎么好好准备考试？  宿舍条件天壤之别就不说了……我实在难以想像冬天那么冷澡堂子洗完澡头发在空气中结成冰再走回宿舍，想想就蛋疼  还有个最重要的……考研考场在新校区呀，考试的时候中午让我们去哪里？学校给大家一起开个房休息还是各自自生自灭躺在在草丛里午睡45度仰望天空泪流满面？呵呵呵呵呵呵 (￣^￣)ゞ不开心，高中的弟弟妹妹千万不要报我院，坑死你没商量。  求赞求顶，我本来只是观望，实在受不了不明真相的键盘侠冷嘲热讽……本来就已经很难过了，还要被你们这些人道德绑架(╥﹏╥)都是坏银！考研狗想好好学习不想去老校区逛街不想玩耍不想看风景！考研狗也是狗！求不虐！
