在西安交通大学读研是怎样一番体验？,背景介绍： 西交大土著，现在研一在读，本科专业是CS，研究生方向是Data Mining。 虽然才研究生一年级，但是大四的时候混了一年实验室，对这方面的情况还是有些了解。说的不好，请见谅。 ——————————————————————————————————————————— 1.生活方面（食住行） 首先来说说生活方面的几个问题。食，在今年8月份之前，交大的食堂构成如下：康桥苑，西食堂，还有面屋，小豆花等“小作坊”，今年8月27号，交大学子翘首以盼的梧桐苑（新西食堂）终于开张了，原来的西食堂不再营业。新开的西食堂总共有三层，环境肯定比之前的西食堂要好很多，但是贵，比之前的西食堂要贵很多，品种也没有之前多，味道也差了那么一些；倒是康桥，康桥二楼和三楼没什么变化，一楼有些变动，具体来说就是贵了一点，好吃了一些，这个还可以接受。住，根据我身边同学宿舍的分布情况来看，有以下规律：长学制的住学校，女生住学校，硕士男生住外面，在南洋大酒店（我是说旁边），我是电信学院的，这个规律不一定具有普适性，再说说住宿条件，住学校里面的条件要差些，到底有多差呢，就是没有卫生间，有的没有阳台，房子比较旧，住外面的还好，比如我现在住的地方，和本科住的差不多，四人间，有阳台，有卫生间，一楼有澡堂，隔壁是水房，还不错；费用方面，校内的有800的，有1000的（有的是三人间，有的是四人间），我住的是1200，单位都是软妹币/年。行，交大不大，住校内的话还是比较方便的，我住在校外，到实验室要过马路，从宿舍到实验室也就30分钟不到吧，就当是散步了（最近入手了一块滑板，想想以后踩着滑板去实验室也是酷炫）。  2.自然环境 再说说交大的自然环境。个人感觉交大还是蛮好看的，树木非常多，道路旁种满了法国梧桐，遮天蔽日的——太阳高高照的中午走在路上都还感觉蛮凉快的（这些梧桐树实在是长势太好，最近，学校动用人力开始了剪枝工作）。交大的樱花也不错，每年3、4月间樱花开的时候，都能吸引大批的外校同学还有游客，学校这个时候也会有一个叫做樱花祭的活动，活动规模还不小，每年都是Cosplay，各种妹子。一句话，从自然环境来看，交大像一个大学。  3.科研生活 不知道题主是学文的还是理工科的，想来理工科的概率比较大，毕竟是一个偏向理工科的学校。一般来说混实验室，一段时间内，老板会给你一个任务（当然这个是可以和老板商量的），这段时间你就做这个东西，有不会的可以问实验室的同仁，或者是给老板发邮件，或者直接去找老板（我们老板的实验室就在边上，非常方便，这一点同样不具备普适性），做了一段时间之后，你可能觉得自己掌握了一些东西，这时候你可以跟申请做一次汇报（这是我们实验室的情况，大部分实验室都是定期例会）。 还有，有的老板专注于做工程，就是申报一些国家自然基金，自己在外面接一些项目什么的，如果是这种老板，你的工作几乎就是接他接的项目了；还有的老板就是专注于科研，没什么项目，成果就是论文。所以，先看你喜欢什么，想搞工程还是想做点科研，这个想好之后再去选老师，大方向不错是关键。至于待遇方面，硕士学校一个月补贴500，至于老板补贴多少，看情况，一般来说，有项目的老板给的要高点，说不定还有个年终奖什么的，不过话说回来，这都是小问题，关键是自己有没有学到知识，能不能成长。 最后一点，如果是搞科研的话，学校每年都买了很多期刊、会议的文章，像ACM Digital Library，IEEE Digital Library什么的，学校的ip能直接登陆它们的网站，免费下载文章，还是很不错的。  写了这些也不知能不能帮到题主，没说清楚的再补充吧。
西安交通大学120年校庆真正给普通学生带来了什么？基础设施什么的，真正得到改善吗？,有呀，比如我们宿舍终于要换上床下桌了，还有我们材料大楼建成了，以后不用去机械楼上专业课了，等等
西安交通大学金禾经济研究中心在全国范围内是一种怎样的地位？,从师资力量和生源质量上看，金禾绝对不比沿海的那几所985差，甚至还会略高。金禾的本科生主要通过转专业面试选拔，都是交大各个学院的学霸学神，毕业后出国留学的居多。硕士生基本都是985理工科推免生，除了交大本校的生源外，每年都有南大厦大保送的，这两年还有复旦和上交的。金禾授课模式也比较灵活，第一年不选导师，师资团队主要以海外访问教授为主，很多是台湾的顶级经济学教授，每年飞过来2到3次集中授课，虽然课程压力很大，但基本保证了每一门课程都是该领域的专家授课（比如，教金融学的新竹清华金融系前系主任，教福利经济学的华人经济学家黄有光）。  由于金禾每年招生都很少，不到20人，因此知名度不是很高，还受限于地理位置和学校平台、资金问题，和沿海的985相比，找实习不太方便。如果以后希望出国读博，做经济学研究的话，金禾还是很不错的，管理上也很自由人性化，鼓励你做自己喜欢感兴趣的方向。
在西安交通大学当学渣是一种怎样的体验?,和在其他地方当学渣相比并无区别。都是一开始不服，被虐啊虐啊就习惯了。
重庆大学和西安交通大学机械专业考研哪个性价比高一点的？,这是西安交大被黑得最惨的一次
厦门大学管理科学与工程还有西安交通大学管理科学与工程哪个好?,我们的辅导员是西安交大管理科学与工程的博士 
如何评价西安交通大学计算机的同学经常熬夜学习？,男票是交大计算机的，天天熬夜学习。没时间陪我，难受。 考完试就通宵游戏，没时间陪我，难受。 通宵玩就睡觉，一睡一整天，不陪我玩，难受。 可怜的我只能和固体物理说话。
大家好，我是2016届新生，我想请问西安交通大学城市学院的就业前景怎么样？,主要看家里背景。。。陕北土豪多么的多呀哈哈
西安交通大学自考，考的是会计，将来出社会认可度如何？现在在外面找的培训机构靠谱吗？, 护理、临床医学、药学、公共事业管理、中医、中西临床医学、医学影像、口腔医学、  土木工程、行政管理、会计学、计算机科学与技术、工程管理、国际经济与贸易、电气工程及其自动化、机械设计制造与自动化、法学、通信工程、工商管理、集成电路设计、材料成型及控制、等  学制:1--2.5年  二、全日制形式（公益教育，全省学费“”）: “学历文凭+工作实践+就业安排”一步到位 华中科技大学一向重视教学质量，确保教学质量（一流教授精讲、培学习方法、培实践操作、培技能训练..确保真才实学!），校园环境好，管理严谨，统一实行全日制形式管理学生生活、学习、实习、工作安排。 
西安交通大学自动化专业，辅修金融专业，想跨专业保研到北大光华金融学硕士，需要做哪些准备？,跨专业保研有一定难度，但也有成功的经历，我有一个学长跨考保研到北大，下面是他的考研体会，希望对你的考研有所帮助！   第一，申请夏令营。对于有保外资格的同学，最好能积极申请每年7月各校举办的暑期夏令营活动，这些学校包括北大、清华、人大、南开、复旦、上交、上财、华科、浙大、厦大，主要为经济学、金融学专业，管理学相对少一些。    夏令营可以跨专业申请，只要自己实力足够强，在众多的申请者中脱颖而出，就有机会入选。由于一般申请都在大三下学期，正式保研资格还未获得，所以如果被夏令营录取，务必确认自己将来也能有保外资格。参加夏令营的优势便是能够根据在夏令营的笔试、面试表现获得预录取的资格，这样可以提前结束保研历程。即使退一步，如果没有在夏令营中获得预录取，仍不影响在9月份的正式推免。更为重要的是，许多学校在推免中采用夏令营营员优先录取的原则，如上海交大、厦门大学。只要9月份的推免能进入复试，那么录取的机会很大。所以夏令营是有益无害的机会。    此外，还需要准备几篇高水平的学术论文，一些学校采用论文答辩的方式录取学生。最后，学好数学和英文真的非常重要，几乎所有名校的经济学、金融学专业保研均需要考数学和英语。有备无患，方能水到渠成。    第二，就是研究经历。 研究经历是申请材料初审中的核心亮点，是决定能否进入复试的关键因素，对于竞争激烈的名校而言更是如此。同学们在大三开始申请本科生的立项基金，在高水平杂志上发表学术论文，并主动去阅读最新出版的期刊。这对于建立学科的认识，发掘自己未来的研究兴趣十分有益。    此外，经济类研究生在录取时如果有全国甚至国际性的数学建模大赛的获奖证书，则无疑是巨大的优势和亮点。根据今年的情况，我所认识的朋友中很多获数模大奖的牛人都去了经济学名校。      第三，学校选择。学校的选择实际上就是申请难度的选择，越是名校则录取的难度越大。我的个人意见是，明确自己未来的发展目标，是成为一名职业工作者还是继续从事学术研究。    这两种道路决定了选择的学校。如果以毕业后直接工作为目标，则以学校的地域、经济条件、学科侧重为标准；而若以学术研究为主，则考虑学校的师资、经费、研究环境、对外交流等。选择学校实际上就是选择未来的生活方式，这是影响深远的大事，需要慎重决策。      第四，专业选择。 推免申请中，自然面临专业选择的问题。根据这几年的录取情况可以看出，经济类的申请热度基本大于管理学，而在经济学中应用经济学的热度大于理论经济学，尤其以金融学、数量经济学等最难。在专业选择上，需要根据自己的本科学习情况、研究兴趣、工作方向等加以权衡考虑，尽量选择适合自己的专业。     第五，联系导师。一直以来联系导师就是保研的学生为之困惑的问题。虽然这几年各个学校实行集体招生，老师单独决定是否录取一位学生的情况不再多见，但每届的师兄师姐都会把联系导师作为重要的环节。    我认为，联系导师的好处是能够与未来的导师建立直接的深入联系，增加彼此的了解，促进最终的录取。现实的情况是许多担负高级职务的著名教授博导十分繁忙，无暇回复，因此联系陷入停顿。这中间存在运气成分。告诫各位学弟学妹，如果有心联系导师，就早一点行动起来，保持定期的联系十分重要。至于一些学校是研一结束后才选导师，则另当别论了。    第六，关于面试。保研只有复试，没有初试，因此，几分钟的面试就可以完全决定自己的命运。因此，这一环是最重要的环节。首先，在面试前，应该和自己报考的老师进行沟通，以获得一个较好的印象，同时了解将来读研时的大概内容。笔者在面试前一天，与报考的导师进行了约20分钟的交流，就向他大概说了下自己的学术志向，并问了老师的具体研究方向与要求。面试一般五分钟到数十分钟不等，一般有多位老师面试，包括自己所报考的老师。对方老师问的专业问题一般由浅到深，内容可能较为专，但是准备的时候必须适应面广。面试时切忌紧张，应该放好心态，从容回答问题，达到正常发挥。大部分考生对面试的第一感觉就是紧张，我当时比较幸运的参加了凯程的面试培训，不仅有凯程老师的面试指导，还有模拟面试现场的培训，所以，在面试的时候我的紧张感就降低了很多。有条件的同学也可以在凯程报辅导班，真的超赞，老师认真负责，学习氛围浓厚，真的很适合保研的同学们去复习备考！
在西安交通大学找到妹子是一种怎样的体验？,泻药，废话不多说，先上图，全是我交的妹子。 男的就是我了，不准喷，觉得我丑请点赞。想看更多妹子请关注微博@易达利 想看答案的往下翻。 -----------------------我是分割线-----------------------             -----------------------我是分割线-----------------------  长得丑不是问题，女生少不是问题，只要有两把刷子（比如拍皂如@李骁）妹子不是梦。 所以，不要在知乎瞎闹了，在这玩的都是屌丝（比如@李骁）赶紧粗门约妹子吧！  顺便吐槽一下，经常在西区看到漂亮妹子给猥琐汉子端茶送水，表示还是比较愤慨的。 我大东区虽然汉子多，但是美女也不少的。
西安交通大学官方宣传水平怎么样？,谢邀  别的不说了  中央4套播放的西迁纪录片《向西向远方》  我刚刚是在B站看的  学校新闻网上只有宣传部署名的开播前的欢迎收看的宣传新闻  但愿是因为校庆事务繁杂且又逢周末的缘故
西安交通大学心理学怎么样？,不招生~~~
