厦门大学好考吗，你们是怎么考上呢？,不难考，当年的保底学校，然而我研究僧还是过来了。厦大是个好学校！
如何看待厦门大学的丑闻？,整天給自己化妆，削尖脑袋去评选什么所谓中国最美大学的学校。往往美丽的外表下都藏着肮脏！  朱崇实作为厦大校长为何能 13 年连任？ - 厦门大学 
厦门大学高等教育学硕士？,厦大教育学每年跨考的都很多 我也是跨考的 17年高教拟录取 有需要了解的可以加我的扣扣610208053
厦门大学翔安校区的就读体验如何？,来这边读研究生两年了，应该比较有发言权吧。可能说的比较啰嗦，但是如果真的有想过来在犹豫的高考生看到，希望你一定要看完，一定不要来翔安。  主观来说，因为这个校区的缘故，让我以后再也不想来厦门。客观的说，楼上说的翔安校区的几个优点比如：清净，硬件设施不错（游泳馆图书馆之类的），这些我都不否认，但是我还是要说，因为我本身在本部也住过一个学期，所以更能感受到本部和翔安的云泥之别。一个崭新宽敞硬件豪华的监狱和一个自由文艺温馨的小家有什么可比性呢？  先来说说这边的环境吧，绿化还算比较多，但是都是小树苗，一到夏天晒而且没有遮盖。最想说的是，风极其大，大到什么程度呢，走路骑车都困难，不仅大而且很怪，它会不停的随机变换方向，所以我们都说是妖风。再碰上有雨，那么带没带伞就已经没有差别了，这边打着好好的呢，那边风向突然猛的一转，伞要么被吹跑，要么折了，反正一定会淋湿。一到秋天，虽然温度没那么低，但是风一吹起来，真是冷到无处可逃。冬天就更无法形容的冻的透心凉。这样的大风天气，翔安这边少说一年有40%，50%也应该有。所以那些说可以晚上出来牵手散步谈恋爱的，应该只有春夏的一部分时间吧，其他季节我真佩服你！而我在本部的那一学期正好也是秋冬，完全不会有这样的风，我当时还在想，厦门的冬天真好过呀，一点也不冷~然而过来之后，妖风的存在让我又买上了羽绒服！！！  此外，今年开始好像又有一两个学院要搬过来，加上貌似又有扩招，所以优点之一的清净也并不等于不拥挤了。翔安校区目前有两个食堂，一区竞丰，二区不常去没在意叫什么，但是二区的食堂无论是菜品种类还是菜的口味都不错，但是由于比较偏，只有二区和现在刚启用的三区那边住的人会比较常享受到；那么一区竞丰食堂就是主要就餐的食堂了，而且离教学楼和一区宿舍都很近，所以一大半的人是在这里就餐的，一到饭点前面广场停的全是自行车，餐厅里面的队伍长到令人绝望，我在本部任意一个食堂都没有遇到过这样长的队伍，打饭的阿姨动作慢态度差都不说了，两条长长的队伍前面只有一个人打饭菜，然后迂回着来，因为打饭菜的阿姨少吗，也不全是，总有一小半在旁边拿着勺子晃来晃去，好像是专门替补的那种。吃一顿饭你有一半的时间要花在打饭上。。再说饭菜质量，真的是没办法点评，除了有领导来视察的时候会好点，其他的时候那真是内脏是厨师的最爱，什么心肝肺肠子是最常见的配菜，菜的种类也是少之又少，有几个大家都比较喜欢的菜那也是一年也没有几次的。量也是少的可怜，虾这种一份四五块也就给你四五只。跟本部有可比性吗?本部的菜量多不说，配菜也从来不用各种奇怪的内脏吧，可能由于食堂比较多，竞争大所以质量就好些，而翔安就这一家，爱吃不吃，所以真的是越来越差，之前都有同学给上面提过意见，但是也是不了了之。   好像说了太多吃的哈。。。。简单说说住，本部海韵是上下铺，床是1米的，配热水器，学校内的公寓比较旧，没有热水器，但是床也是比较宽敞。来了翔安，我真的是震惊了，硕士两人间床是0.8m*1.8的，这就是传说中的硬件好？敢换点正常的床吗？我一米六，如果不是顶着床头睡，真的能碰到床尾，个子高点的男生都会比较憋屈，认识的一米九的男生都是自己买床的。  这边出去想买点生活用品，学校里面种类少，男生可能比较好对付，女生要想买自己常用的哪些啦，学校东门有个超市，日化都是些本土或者没听过的小牌子。二十分钟远的新店有比较大的超市，日化类的种类也是很少，货也不全，我就见过同一个牌子，卖洗发露就是不卖配套护发素的。。想去大型的超市沃尔玛家乐福买，有啊，最近的沃尔玛，转两趟车，要一个小时，来回就是两个小时哦。。。   最后我想说氛围。厦门大学一项自诩是很有人文关怀又富有小资气息的学校，但是翔安校区的存在，像是一种打脸，把一些工科性的学院分到这边，关键是选了这样一个偏僻环境很差的地方，与本部离的那么远，其实完全不是一个氛围了。这种闭塞的环境对那些冲着厦大氛围而来的学子们来说，是不公平的。这边，真的是和一个普通二三本没什么区别。我不是厦大的本科，但是我在这边看到刚来新生我都为他们感到可惜，同样的优秀为什么不能享受同样的资源。 厦大官方一直宣传着翔安五星级图书馆，电影院，场地大，这些硬件，但是这种没有厦大灵魂和氛围的地方，这种闭塞的地方，即使地方再大，这些东西再奢华能弥补的了什么呢？我们可以没有那么豪华的图书馆，电影可以出去看，本部出去看个电影车程十几分钟，那么请你给我们一样的生活便利啊，一样的氛围啊！说一个不恰当的比喻，一个崭新宽敞硬件豪华的监狱和一个自由文艺温馨的小家有什么可比性呢？
厦门大学有哪些好老师？你们之间有什么故事？,谢邀。不知道题主是录到哪个院了，就说说公共校选课的老师吧。  一个是厦大经济研究所的所长陈其林，他开的一门校选课叫当代经济中的热点问题。讲课风趣幽默，旁征博引，听得津津有味。记得讲到我的老家山西经济，他说别的省官员拔毛都是一只鸡拔一根。而山西是只有一只鸡，大家都在上面拔毛，拔的光光的。让大家一下子就明白了山西经济结构单一，政商勾结严重的现状。 还有一个是大学英语提高班的老师叫连哲彧，对翻译学很有研究。上课就为大家打开各种外文新闻网站实时学习，很开思路。 印象最深的大概就是这样，自己院的就先不说了。 以上
在厦门大学宿舍杀飞虫及各类虫子是什么样的感受？尤其是夏天……,泻药。 第一次回答竟然是在经历了水蚁大军之后谈感想。嗯，感受就是：麻麻我想回家，简直不能更心塞。 朋友圈都刷屏了，蚊帐里本来还进了两只，心都吓没了。喷杀虫剂也不死，淹死的速度也好慢，嗯，我是真想回家。   报考时请谨慎选择厦门大学，要不分分钟体验现实版生化危机。
看见网上对厦大差评一片，厦门大学真有那么差吗？,厦大航空16届毕业生飘过。  无脑黑厦大的，我只能说 naive，吐槽厦大航空的，我只能说。。。你往下看。     首先题主的成绩只能上厦大航空航天类专业，那你去哈工大之类的，也只能是更加冷门不受大家欢迎的专业。   然后说下厦大航空的历史：起初（没记错是94年。。。吧）是为厦门太古公司特别开设的飞机检修类的专业（听老师说是应厦门市政府的要求，当年为招商引资，不知真假）挂靠在物理与机电工程学院机电系；然后大概是08年成立航空系，有航机、航电两个专业；13年多了一个航发的专业；15年正式成立航空航天学院，下设航空系（原来的没变），从物机分家分来的机电系，以及从信科拐来自动化系。     讲真，现在的航空系确实有点弱的，但是，大学感觉还是看个人，天天翘课睡觉打游戏，哈哈哈哈哈，去清华也一样没出息，我室友就这样，然后肄业结束大学生活，认识的好多人都是这样，然后延毕。  不过重点讲一下系主任尤延铖教授，蛮厉害的一个人，主要研究流体，努力一下，保研进入他的实验室感觉挺不错的。  毕业去向，我能说就业的好多都不是专业相关吗   ，京东方，TP LINK，银行，销售，金融行业。。。当然也有中航工业，厦航，海航，广州飞机维修，厦门太古啥的，如果不挑剔工资，基本上都可以去中航工业，前提是你能顺利毕业(๑•̀ㅂ•́) ✧保研+出国的有四分之一吧（我这届and上一届，以前的没关心过ヽ(ﾟ∀ﾟ)ﾉ），考研的16届据我所知就只有两个考上的，其他的都game over。具体原因看我后面的吐槽╮(╯▽╰)╭  吐槽： 1.厦门太慵懒，厦大太自由！ 是的，不要以为这是优点！ 24小时不断电不断网（如果有人反驳，那说明不会自己接电线）。大学四年，辅导员班主任最多到你的宿舍来四次，正好每学年一次( •̀∀•́ )。所以你通宵打游戏到天亮，或者出去.浪，大半夜回来，甚至晚上不回来，然后白天翘课睡觉。都完全没问题，，，你喜欢就好   厦大环境很美，美女也多，只要不要脸and不宅，还有长得不是毁天灭地型的，基本上都都可以脱单（细细想来，我还是很要脸的 ）  。。。。。。  然后。。。哈哈，你就会发现厦大成为了一个消磨意志的黑洞，除非天赋秉异，意志如铁，（完美的形容了我自己）不然早晚会沉沦的。个人认为这就是导致我们系16届考研只有两个人成功的原因。(๑•̀ㅂ•́) ✧  还有，总是感觉厦大学术氛围相比于其他高校，淡好多，（也有可能只是航空系给我的错觉，据我所知土建的每天都画图到凌晨三四点 ）    2.厦门地理位置太偏了！    厦门地理位置太偏了！    厦门地理位置太偏了！    重要的是说三遍！ 找工作找实习太费劲了，好多北方的企业很不会来厦大校招，（好歹是985啊喂，能不能给点面子）每次对比北京每天那么多场的校园招聘，再看看厦大大猫小猫三两只。。。心酸啊。    最后，以上纯属个人主观观点，谁说我客观我跟谁急！     最后2.0，虽然对厦大吐槽好多，但是并不后悔来厦大， 毕竟， 最好的四年， 都留在了这里！
厦门大学嘉庚学院的工科实力及就业前景等如何？,为了免些事非，匿名了 我工科毕业  不过我到了相关行业，也就是没进工科的专业 我觉得都差不多，跟厦大这边的实验器材和教学内容差不多，不过跟大多数一本理工类院校肯定有差别~  目前个人在互联网里，月薪5位数，经理职位，我的知识及思维架构得益于我大学的工科学习内容，就写这么多，下班了~回家吃肉肉~
厦门大学入学考试若是英语只考20.30，后果会怎样，是否还有口试？,不会怎么样，这只是一个英语分级，决定你要修多久的英语。考二三十分的话百分百要修两年的英语了，从大英一修到大英四哦。学弟好运。
如何看待厦门大学限制游客参观？,作为一个厦门的p大人，我来回答一下： 第一，大学的第一目的是教书育人，不是满足所有纳税人的要求。自从有人提出“纳税人”的概念以后，“我是纳税人，我有权xxx"这句话已经被滥用的不成样子了；很多时候用这话的人在我看来跟耍赖的小孩没什么两样。你是纳税人，那学生和学生的家长、老师、学校职工还是纳税人呢，凭什么游客就有侵犯学生安静上课的权利？而且，即使按这个耍赖逻辑，纳税越多话语权是不是越大？学校里还很多学mba的老板呢，哪个游客比得上他们？ 所以，至少在上课时间禁止游客进入是合理的。 第二，任何事情请结合现实来看。厦大的游客岂止是多，而且素质普遍极低，在食堂吃饭拥挤插队骂学生，用完餐不端盘子，各种装小清新影响校容我就不吐槽了。在这种情况下还能允许游客进入校园并在校园里用餐，我只能说厦大已经是很大方了。 第三，与社会协商不可行。第一，谁有资格代表“社会”与厦大协商？游客还能选出个代表？第二，学生和游客的利益本身冲突严重，校方肯定首先保护学生，不可能商量出个结果。不象我世界一流大学是中国的是世界的终归是游客的。 -------------------------------   "学生上课是在教学楼和图书馆，这些地方一般的游客根本就没兴趣进去，谈何吵到你上课？"    同学你真的见过大学里的游客吗？我们自习上课他们都要照相这样你都可以装看不见？   “其实学校并不是你学生的，就好比你买到了上公交车的票，并不代表公交车就是你的，你自己上了公交车，就不希望别人再往里面挤”    在您的这个比喻里，买票＝考进该大学。别人往里挤，他买票了么？既然没买，那买票的人是不是有资格共同决定无票入场的人的规矩？更何况没人反对“别人往里挤”，但进来就捣乱影响买票的人是不是有点过分了？   “合理的解决办法是，在饭堂设立临时购票窗口，临时购票的人，加收一定数额的搭伙费，至少把国家补贴给学生的数额收回来。”   食堂能有这个目的?给国家创收收回国家补贴?我想您可能有点主次不清了吧。况且，p大就这么做过，最后食堂管理的boss被学生撵下台了，您是否想过这种行为对利益相关者有多大寻租空间？指定每日大批的游客只能去某一个食堂，该食堂拿了国家补贴的同时还给食堂加价？学生给出的理由我在这里不一一列出，请您搜索一下看看为什么学生抵制食堂“创收”的行为。   “而是说，大部分游客和大部分学生一样，都是会根据环境来调整自己的行为——见到别人都收餐盘，他一个人腆着脸不收餐盘压力很大的，所以也应该反思是不是环境的问题。   …… 即使环境好，制度也完善，也难保所有人都会有严格执行餐盘回收制度，所以食堂设立一定数量的保洁员是必须的，而不是一味地对食客进行道德指责。“    同逻辑推理：一个人做了不好的事情一定是政府、制度、环境有问题。搞笑呢吧？brt烧死人的那货在地狱听到这种话简直乐出了声。   “它是公共资源，不管是大学生还是游客，都只是里面的过客，相煎何太急？”    不好意思，我们不是大学的过客。情感上说，大部分大学生没把自己当大学的过客；理性上说，以后我们要靠大学的名字留学找工作找校友，这个标签会跟我们一辈子。游客呢？呵呵
武汉大学和厦门大学哪个好？,看专业吧 武大马克思 图书馆 法学比较好 厦大广告 经管 历史之类的也可以 看你喜欢什么 文科基本上没啥冲突的点 校园环境和氛围以及住宿条件也比较类似 
