长春师范大学怎么样，具体点?,长春市内综合实力好于长春师范的学校：吉林大学、东北师范大学、长春理工大学、吉林财经大学等 吉林省内综合实力好于长春师范的学校：以上四校+延边大学 吉林省内师范学科好于长春师范的学校：吉大、东师、吉林师范等各种师范   长春师范大学位于老飞机场那边 校区真的是比较小   不是一个好的大学
哪些大学有好玩的别称？,延边大学  啤酒大学   出校门向西500米就是啤酒厂 据说还有明太鱼系桔梗专业（当地人称都拉及根专业（即中文中的桔梗））
延边当地学生考延边大学要多少分？？,这个要分朝鲜族跟汉族。 朝鲜族一般过了吉林省二本线大部分专业都能进（我说的是大部分）但是有些系不招收朝鲜族学生。如果二本线差一点的话也可以进少数民族预科班。 汉族的话大概跟吉林省内其他地区的考生是一样的。
是读浙传还是读边远地区的211，比如延边大学，我超重点线22分？,别傻，除非你特别喜欢喝酒，否则别来延边大学
延边大学，体育专业，请给介绍一下。？,啤酒大学明太鱼专业。
如何在大学赚到人生的第一桶金？,之前答过一个类似的问题 so就直接复制粘贴了 其实在大学里 只要你想 能找到很多兼职 零零散散攒到一起 也是一笔不小的数目     说一下自己在大学期间的兼职 1，在食堂档口给学生打餐（小时算 大概6.7块钱吧 但是供餐） 2，手机临促（发手机促销传单 领到自己家柜台前 成交一部一份提成 底薪5.60 一部提10元左右） 3，节日期间商场门口跳舞（也就健身操什么的 太难也不会 能给个100左右） 4，没有网上订餐时 我们自主办了个大学生便利手册 （里面都是附近订餐电话 还有当地一些特色饭店旅游景点啥的 自己去谈商家 给你一定的底价 谈到多少钱—底价 中间是你的利润） 5，卖过手机卡 新生开学电信敢促销啥的 6，卖过星火英语报（四六级提高什么的） 7，考计算机省二时 （跑遍书店都没有资料 网上也没有 请一个计算机学长吃饭 他给了我一份他当时考复习的资料 被我大批复印了 然后按复习资料全卖了） 8，驾校代理（一个关系不错的学长 很有经济头脑 我就和他一起弄 也是报价—底价 是我们的利润 55分 因为很多大学生想大学期间考完驾照 又不清楚哪个驾校好） 9，服务员（赚出了穷游去山东的钱） 10，烤串员（学校在延边 那里烤串都是给生肉自己烤 有的人不会 我们就给他烤好） 11，网站宣传（一个哥哥弄的一个兼职网站 在上面找兼职 办会员卡 给提成） 12，各种超市临促 13，节假日忙不过来还去店里卖过手机（比店外面临促赚的稍微多点 因为这认识了一个关系好的哥哥 还有一个姐姐 大学期间自己的一个sony 一个6p 给妈咪买的三星mage 还有pad 全是找他们买的 省下不少） 14，礼仪（三星家电搞促销 每天200 就是要求身高170以上 还穿高跟鞋和韩服 感谢妈咪生的大高个） 15，卖过朝鲜族美食（在微信 qq上 正好是在那个店里打工 关系挺好 就卖卖看 ） 还有挺多想不起来了 想起来再补充
你大学生活最美好的时刻是？,【多图预警】坐标长春 感觉这个答案 同我生活的小确幸了hh 1.每周买一次花，请花店老板美美地包一下       2.吃好吃的 特别喜欢芝士 抹茶 榴莲 哈哈哈   纽约芝士蛋糕甜筒 纯甄芝士味   3.放假出去旅游 沈阳张氏帅府  哈尔滨中央大街 延吉延边大学  4.星星月亮和太阳 校园  桂林路  校园    均无加滤镜哈哈哈 超级美吧   夕阳西下  窗外的天空   5.酷毙灯  6.逛独立书店 学人书店   纸的时代   7.尝试新事物 列一个愿望清单一个个打勾 点了温泉蛋   有点害怕 觍着脸要加热一下  定期献血（1）  定期献血（2）  双层火车  打靶  哦，这是我对象打的 这才是我打的   酒吧必须来一波  8.床边挂篮 9.无线耳机 10.书架收纳篮 11.纱布棉麻毛巾 12.优衣库运动系列 特推 速干裤 联名设计款UT也是一生推  待续
延边大学文科专业有哪些值得去的？,日语不错 俄语最好去黑龙江省学校学 黑龙江大学之类的 都不错
延边大学的医学系怎么样？想报考，求解。？,延边大学医学院就是个坑 我也是醉了 其他学校不知道  延大医学院和延边大学一样以朝鲜族为主 狗屁不是的也能当上主席会长之类的 各种拍马屁吹牛逼 尤其是医改以后 感觉上医学院的基本非富即贵 不是学校老师家孩子 要么家里有人当个教授级的医生 医学院这条路太深太难以捉摸  第一天来报道的时候 就那个辅导员就把我气的半死 办事效率极慢 收钱挺快 事儿也挺多 我就开始对这个专业非常讨厌 就想转专业 可惜我想转的专业我那年不接转专业学生 WTF 再说上课 一般的公共基础课老师都挺负责的 那些老师到现在都认识我 但是到了专业课 一把辛酸泪 整天吹牛逼 上课吹牛逼 下课吹牛逼 我也是服了 真的是自学 就是讲书本上的东西啊 有什么用啊 我听都不想听 (是我自己也不爱学习 我学习不好 我就是甩锅) 讲课讲的狗屁不通 我感觉他自己都不会 瞎几把讲 要么嘻嘻哈哈的 要么话也说不清楚的 要么讲个课上纲上线的 但都有一个共同特点就是能吹牛逼 我感觉都一个逼样 讲课讲了一溜十三招做题还是不会 根本就没有教给我们医生思维 病例都是自己分析 老师自己也讲不清楚照着PPT一顿讲 自己还说“同学们真的很厉害 有的方面我也是没有想到 我也要和同学们学习”天啊撸 你都不会还敢教我们 我他妈想换老师 尤其是我们专业的学霸们 哦不 不止学霸 ogee 一个个都是bitch 真的都是演员 配合你演出的我演视而不见 “你有复习资料吗？”“没有啊 我还想问别人呢！”自己寝室里一大箱资料呢 “你复习的怎么样了”“根本背不下来 能及格就行”c 一个个最后都第一第二的 有意思吗？能咋地吧 还有大家都是同龄人 最多也就差个一两岁吧 那些所谓的会长团支书等等不用用那种官腔和我们说话吧 你以为你是谁 没有那些狗腿子 你能干啥 几把都不会的东西就吆五喝六的 去你奶奶个腿的 自己不会的时候也能不能好好说话 不惜的和你一般见识 给你面子 再说说实习 和导员关系好啥都有 无可厚非 我也不在乎 但是他妈什么叫自己解决吃住 他妈外县市的人怎么办 有点什么事还几把得回来 开你妈的会啊 开会一个小时点名半个小时 mdzz 其中延边医院我真的得往死里黑 堂堂三甲医院 连个哮喘都看不出来 胰腺癌治不了要去长春治 不给放 同一个病人不同的医生竟然有完全不同的诊断和治疗方案 教学生只要按照规章制度来除了医疗事故也不怕 手术要喝酒美其名曰压力大 种种 更恶心的是延边医院内部体系全部都是延大医学院出身的 层层相护 一直排外 我至少是听过三个案例两个是美国一个是日本毕业的 博士论文科研都是接近国内顶尖水平 而且毕业院校想要留人 待遇比国内好十倍不止 但都是延边人想要为家乡做贡献 到延边医院 医院方直接说 先交四十万 你说气不气 最后还是其他地方听说了他们回国的消息 马上联系 给房给车年薪300w+ 有独立研究室和研究基金等等各种福利  我现在是受得够够的了 现在准备usmle 必须考出国 
有三个月假期，想一个人到延边学韩语/朝鲜语， 请问是否是一个好的选择？,培训班很多的。到延边州州府延吉来，你在繁华的地段走走就可以看到韩国语培训班宣传的牌子。不过建议你多走几家比较一下各个培训班的水平 我高二时和一闺蜜就是这样踩大街比较了几家，结果找到了地段合适 小班授课 价格合理的韩语培训中心 老师是延边大学毕业的朝鲜族学生 是个很认真的年轻姐姐。如果说语言环境的话，绝对可以有的，大街上广告牌全部有韩语注释的地区怎么可能缺朝族人呢～只要你敢开口和说朝语的人搭讪就能练口语。不过口语还是跟着老师练更好吧……
