2017云南考生高二本线30分可以上云南财经大学吗？,高等职业普通本科可以上
家是云南的，想去湖南读研究生，以后可能要考选调生，请问以后再回来云南会不会有阻碍（外省大学比云南好？,云南本省211就一所云大，还有一个虽然不是211但也不错的昆工，除了这两个，其他大学在全国都排不上名。你再去查查其他省的211，985院校数量，你就明白了。建议你趁年轻走出去看看，不要做家乡宝，而且在外面学了一身本领，回云南开发家乡也不是不没有可能
广西师范大学，云南师范大学调剂是种什么样的感觉？,今年这两个学校都特别火，刚刚过线很悬。
云南师范大学怎么样？,作为一个大二即将踏入大三的学渣，勉强回答几句吧.就综合实力来说，师大在云南还是能够排到前几的.新建的呈贡校区环境很棒，图书馆游泳馆各种一应俱全，校园环境算是云南高校最好的，见仁见智吧，总之个人是很喜欢.专业的话，师范类专业是本省最好的，太阳能专业--全国都比较出名，国际类的专业比如国际金融贸易跟东南亚国家都有合作，总之除了每个学校都有的那么几个特长专业外(比如财大的财经类专业，西林的园林专业等等)，其他的其实都差不多.还是那句话，大学主要还是看个人，就算你在清华北大，每天撸啊撸不去上课也是搞不成的.嗯，就这样.
大学毕业回云南的会计师事务所好不好？,我在云南，也在云南的事务所，基本上，业务做得大点的，也还是国内八大。也有云南省本地做得好些的所，但执业质量不高，对才毕业的你来说，根本别去，会乱了你的三观。总体来说，云南经济发展也不是很好，客户资源有限，特别是ipo，甚至新三板的项目都很有限，国内八大在云南都有分所，相互低价竞争。你能进一个好的所，能做比较锻炼人的ipo，新三板项目的机会都很少。如果单纯从工作的角度来看，建议别回云南。
本人20岁 女 在云南保山上大学 因为从小牙歪歪想要整牙 关于医院方面有前辈可以指教一下吗？,可以去保山人民医院找罗兴鹏医生，他曾在我出进修。远一些，可到祥云县人民医院找王蕊医生，我们医院是祥云的援滇对口医院。我也在哪里工作过。
安徽大学和云南大学哪个更好？,安徽大学分数整体高一些
云南大学本科交换项目多吗？,云大的新闻学院有去复旦的交换项目，1+2+1在云南上大一，在复旦上两年回来以后在云大读大四。如果你去外国语学院的话，交换机会更多。我有一个学姐就是去越南交换了。每个专业都有一个保研名额，最好的能保研到北大，经济学院去年有被保送到浙大读研的。不过我更想去江苏上学。。。因为地方好，昆明不如南京繁华和有文化底蕴，我个人比较喜欢大城市，云大是最后一个志愿录进来的。如果你热爱摄影和旅游，就可以考虑来昆明。云大有一点特别好的是，学校环境好，新校区宿舍条件也比较好，独立卫浴，本部宿舍条件稍微差一些但是学校环境包括周边条件都很好。重要的是昆明夏天不热冬天不冷啊。。我们现在这里十几度。。高中同学羡慕死我了。。
在云南大学读什么专业以后保研到985高校的机会比较大？在云南大学读什么专业前景比较好?,利益相关：云南大学15级软件学院在读学生       据我所知，云南大学软件学院是国家示范性软件学， 保研的名额相对于其它学院还是比较多的。     但是，保研名额的争取，由于综合测评这种不怎么合理的事物的存在，导致每年都会存在学生间的撕逼现象。学姐不是喜欢惹是生非那种，只想稳稳地当一个技术大牛，努力中啦～（也有大神级学长放弃保送北大的名额去百度工作的例子～ 如果来软件学院，研究生并不是唯一的出路，取决于自己吧!）  还有问题可以评论区留言我噢 云南大学软件学院欢迎你 
在云南民族大学就读是怎样一番体验？,唔作为一个民大在校生来答=v=是在新校区的说~和别的学校不同可能就是这里经——常能看到各种穿民族服饰的人~而且新生招待会也是各民族的舞蹈=v=（但是看太多次了已经没感觉了嘤）倒是常会有各种民族节吧？不过作为一个宅不怎么参与活动所以不太清楚呢~有幸目睹过一次各民族游街~ 上面的回答都把民大批得一无是处的样子呢，但我觉得这很好呀~啊不过听说老校区有松鼠新校区没有 ……（锤地） 另外关于另一个评论的住宿问题，学校有两人间四人间六人间和八人间，二四六的都是上床下桌有阳台独卫，八人间的话就非常挤了上下都是床和高中宿舍一样……但是作为补偿水电费全免并且24小时不断电，所以听说有人住在那还不愿意走hhh不过住那的只有大一女生一到大二就必须搬出去（搬来搬去会有点麻烦呢）宿舍环境什么的还是放心吧除非这个宿舍的上一个主人们非常不爱卫生……这时候就让我为你默哀吧…… 学风什么的我倒是没有在意过呢=v=毕竟我的老师很好很负责啊我只要自己努力就好了管别人努不努力啦～嘛不过我也是要考研的所以自己加油就好啦～
高考毕业到底选择重庆师范大学还是云南民族大学？,如果想当老师，那肯定选重庆师大啊，以后考编制受限小。在我们这边，同样的汉语言专业，考老师，重庆师大毕业的能考高中、云南民族大学毕业的就有点受限了。
云南大学有什么2+2项目？,云大部分专业有去复旦和山大(威海)交流的 以前去复旦是2+2 现在1+2+1 大一在云大 大二大三去复旦 大四再回云大 需要大一下报名选拔 主要看成绩 去山大是大二去一年 同样是部分专业有名额 我是去年报了在山大交流 所以今年正在山大学习
考研去云南大学？, 可以留在云南就可行，云南适合生活，不适合奋斗。  具体回答这个问题很难，一是不了解题主的具体情况，二是选择是一种很个人性的问题，有的东西对别人来说不值得，但对于自己来说却很重要。   利益相关：本科就读于云大。 
东北林业大学和云南大学？, 官方账号不请自来  就用一张图介绍一下林大的实力吧   林大是 国家教育部直属 全国重点高校（教育部直属划重点），题主可自行百度中央部属的优势是什么。  祝你报考成功，9月在哈尔滨等你。 
如何评价云南大学入选双一流名单后被恶意攻击？,你和他谈政策，他和你谈实力。 你和他谈实力，他和你谈历史。 你和他谈历史，他和你谈情怀。 你和他谈情怀，他和你谈素质。 你和他谈素质，谈着谈着他忽然开始骂你……  看了今天部分微博评论有感，云大好不好，自然是云大的学生最清楚，同样理解你们维护母校的心情，但是“骂人”总归是不好的，特别是那些疯狂评论别人考不上云大，发现别人更牛后，立马嘲讽好学校就这素质的人。其实，看见不好的言论举报就可以了，互相攻击，只会让别人觉得你的素质也不过如此。  还有某些diss云大的所谓的名校生，其实我不知道你们在着急什么，毕竟云大来了又不会挤走你们，何必与陌生人置气呢……    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 有人让我贴数据，那就贴呗~ 1 QS大学排名（2018）    QS生命科学排名   QS环境科学排名   QS神学，宗教学    Times2017高校排名      2017times生命科学排名  2017自然指数排名  其中，生命科学排名   2017sci排名  2017高校保研率排名  2017高校毕业生薪酬排名            贴完了，so?
山西师范大学和云南师范大学哪个更好一点？,山西师大不太清楚，我是云师大今年大三的学生。 云师大的话，学风还是不错的，图书馆藏书也很多，我学的外语不太好评价其他专业，就我们外语系来说是云南第一。昆明这边天气好，节奏相比云南其他地方算快些，比一线城市又为懒散了一点。还是要看个人想读什么专业了，感觉这边学习生活都很舒服的，但也有可能把人养懒了。 好好考虑
云南大学汉硕 面试 求指导？,我是17年的新生 还没有选择导师 云大面试已经取消了才艺这一项 然后是改成三年制了 面试不要紧张 老师们都很和蔼自信一点
西南大学和云南大学哪个相对较好？,西大录取分数线高30分吧，
云南师范大学汉语言文学文学水平怎样？,2016收分多少啊，在重庆
我是2017年云南理科毕业生今年理科二本分数线410我考了442可不可以报云南民族大学，能报什么专业？, 可以报，今年云南二三本合并，442可以考虑预科起步，服从调剂一搏，手动帮题主泪奔 
帝国理工学院和云南大学怎么选择？本科，真心求问,是的，你想的没错，赶紧入读云大，走上人生巅峰
调剂去的云南大学的英语语言文学专业，是读还是去工作？,学姐去读了吗？
请问想报考云南财经大学的会计学专业，分数一般要高出一本多少分？,一般超一本40-50分
云南师范大学转专业？,你可以去贴吧看一下，置顶贴有一个说了。具体的你可以开学咨询学院。
