清华和浙大怎么选择？,北方人清华，南方人浙大 想去北方清华，想去南方浙大 想找汉子清华，想找妹子浙大  是妹子来清华，是汉子去浙大吧 小学妹的话有问题请联系我hiahiao(≥v≤)o
浙大哪些专业就业前景比较好？,有一种说法是浙大的学生应该胸怀远大，不应该以就业为导向…… 但是…… 真的计算机是王道啊哈哈哈哈哈哈哈哈哈~~~~~~~~~~~~~~~~~
曾老师黑浙大是对浙大在浙江人数招的过多而不满嘛？为什么不直接说出来。。？,印度的发展也一年比一年好。。
在浙江大学就读是怎样的一番体验？,你来了就知道了
浙大（西溪校区）附近有什么好吃的？, 第三次自问自答，     1. EAC 汉堡王  2. EAC 对面，唐炱宗肉夹馍（刚烤好的脆皮真的好吃）  3. EAC 新时期烤肉  4. 影业路，老街面店（桂花酿好评）  5. 南园正门对面，溪园留学生食堂（留食一贯作风）     其他两个校区的回答：   知乎用户：浙大（紫金港校区）附近有什么好吃的？    知乎用户：浙大（玉泉校区）附近有什么好吃的？  
为什么浙江财经大学在浙江的招生分数线如此之高？,在浙江，尤其文科，浙财大会计可以上重庆大学等985高校，更是秒杀一片211。 首先，地域。我作为放弃财大去内地211 读书的人，深深感到地域这个平台带来的束缚。资金不充足，活动流于形式，大多同学只求现世安稳。而在浙江，无限多的机遇和挑战，有冲劲的同学，环境大不一样。 其次，财经。西南财经地域一般为何分数线接近川大？“财经”二字功不可没。且浙财大多为方便就业考研出国的专业，选专业也是相当重要的。 还有，未来发展。大多浙江人未来集中在长三角。那么校友力量和人际网络就无需多言了吧。  如果再给我一次机会，我可能会选择浙财大优势专业，211/985没有想象中那么重要。
如何看待浙江大学四点起床拉练？,如何看待有些智障屁大点事往知乎上发 如果像以前一样凌晨让你步行去靶场 你想起义吗
浙江财经大学东方学院就业毕业情况如何？,我们的公司里很多同事都是浙江财经大学东方学院的，和我关系都不错，和他们聊起过母校，他们都很喜欢这所学校，对她是夸赞有加，说学校的宿舍怎么这么好，环境也挺好，挺安静的很适合好好学习，学校的老师也非常的厉害，对学生很关照，也经常给予学生很多的帮助。然后在和他们一起工作时，他们也很认真，专业技能和想法都挺多，也经常能帮助我，我觉得学校能培养出这么出色的学生，肯定也是不错的，有机会我也要去看看啊。
打算报考南京大学或浙江大学的数学系，望给出一些建议 ？,你去看看丘赛获奖名单就知道浙大完爆南大了 浙大的数学系尽管不强 但培养的优秀学生很多 因为有老黄一直在耕耘
是去南京大学或浙江大学的一般专业，还是读武大最好专业？,不好意思刚看到你是湖北文科200名，去年浙大南大都是618分，是144-154名之间，你去这两个学校的机会不大。建议考虑低一档的上海财经大学、中央财经大学、对外经济贸易大学、中山大学。  ------------------------------------- 首先看你想本科就业还是想深造。 1，想  深造  （保研或出国）的话要选一个高的平台，也就是好的学校。现在社会上评价学校档次基本是按分数来，全国普遍来看是浙大&gt;南大》武大。想出国的话可以看看全球大学排行榜，国外大学录取的时候也会参考排行榜来判断中国大学的等级，比较有名权威的有三个榜：QS， USNews和泰晤士，你可以自己去查查。  2，想  本科就业  的话，主要看城市，越靠近金融中心越好。 2.1比如你想在上海就业，首先看一下目标学校在上海的分数，也就是在当地的认可程度。相信你也听说过，北京上海的公司更倾向于招本地大学毕业生、或很有名的外地大学毕业生。 举一个例子，兰州大学虽然是985，但在上海就业还真不一定比得上上海大学。因为在上海，上海大学分数比兰州大学高得多，当地人就会觉得上海大学比兰大好很多。另一个例子就是本答案评论里一个辽宁文科生觉得上财好于浙大南大，就是因为在辽宁上财文科分数高于浙大南大。在上海，分数排名是浙大&gt;南大》武大。 2.2再就是看远近，这决定了你以后实习的方便程度，以及不同城市院校之间的交流程度。距离上海由近及远是杭州、南京、武汉。 以此类推，比如你想去北京或者深圳广州也可以用这个方法判断。  其实所谓的选城市、选大学、选专业指的是选沿海  发达大城市  、选  名牌大学  、选  热门专业  。至于学校的这个专业具体排名第几，对于本科生的意义并不大，一般要在博士阶段才更看重该学校的特定专业实力强不强。 比如清华的经管，无论是就业还是深造的出路都是top2，但究其实力则差了不少，其实无所谓的。 再比如复旦计算机，实力排名很低，但是出路依旧不错。 上大学就是为了四年后有个好出路，不是吗？
