中南财经政法大学还是四川大学？,谢邀，川大毫无悬念。  其一，985的光环远远比你想象的要重要，能去985就绝对不要去211。其二，中南财大的名气出了武汉没几个人知道，而川大再低调也是全国知名。其三，中南财大的法学在全国早就远远排不到一流了，五院四系都是当年往事了，学法应该去清北复交，或者武大厦大这种。其四，川大我不是很了解，但中南财大的官僚作风绝对可以把五成学生恶心吐。  综上，选川大吧。祝好。
西南财经大学和中南财经政法大学金融专业专硕哪个就业好点？,西财金融实力更强一些，就业看城市吧。
华东政法非法学专业和中南财经政法大学的法学专业选哪个？,非法的最好别来华政，不然你会觉得这所学校如何如何与你无关... 中南财的法学也很不错。 如果执意上海的话可以看一看华东理工、东华、上大在你省的分数如何。
想在中南财经政法大学学习商法是应该报考民商法还是经济法？,课程里有一门商法课，但应该报经济法
中南财经政法大学转专业？,不难，大一上的时候用功学好微积分和英语就好，我是公管院的，一个小院，班上百分之八十的学生都是调剂来的，但是就有两个转去了最难转的会计学院，重要的事情说3遍，微积分和英语×3！
非中南财经政法大学本校生怎么做准备考贵校的研究生？, 首先作为同华农的学生 我觉得湖对面的财大还是挺好考的 如果你有修过财大的双学位会更有优势 没修过也不要紧 不过财大的会计、金融都是热门专业 跨专业考金融的话还是有一定难度的 建议选择经济学相关的专业吧 
法硕(非法学)考西南政法好还是中南财经政法？,选西南政法没错！别看它没有211头衔，但论专业性来说，西政比财大强。
在哪能找到中南财经政法大学应用统计学的考研资料啊？,你好，我是17考的财大，我有财大统计学资料。 
如何评价中南财经政法大学2016年录取通知书？,我只能默默提供去年的通知书供对比 今年的通知书 很鲜艳很明亮人很多的样子噢  
中南财经政法大学人力资源管理的研究生难考不，这个专业前景如何？,招收20个人左右吧，不考数学，不难吧。。。。
